taxon_id	taxon_group
NCBITaxon:584	OTHER_BACTERIAL
NCBITaxon:586	OTHER_BACTERIAL
NCBITaxon:587	OTHER_BACTERIAL
NCBITaxon:590	OTHER_BACTERIAL
NCBITaxon:613	OTHER_BACTERIAL
NCBITaxon:614	OTHER_BACTERIAL
NCBITaxon:615	OTHER_BACTERIAL
NCBITaxon:616	OTHER_BACTERIAL
NCBITaxon:618	OTHER_BACTERIAL
NCBITaxon:621	OTHER_BACTERIAL
NCBITaxon:622	OTHER_BACTERIAL
NCBITaxon:623	OTHER_BACTERIAL
NCBITaxon:624	OTHER_BACTERIAL
NCBITaxon:626	OTHER_BACTERIAL
NCBITaxon:628	OTHER_BACTERIAL
NCBITaxon:629	OTHER_BACTERIAL
NCBITaxon:630	OTHER_BACTERIAL
NCBITaxon:632	OTHER_BACTERIAL
NCBITaxon:633	OTHER_BACTERIAL
NCBITaxon:636	OTHER_BACTERIAL
NCBITaxon:642	OTHER_BACTERIAL
NCBITaxon:644	OTHER_BACTERIAL
NCBITaxon:645	OTHER_BACTERIAL
NCBITaxon:648	OTHER_BACTERIAL
NCBITaxon:654	OTHER_BACTERIAL
NCBITaxon:657	OTHER_BACTERIAL
NCBITaxon:659	OTHER_BACTERIAL
NCBITaxon:660	OTHER_BACTERIAL
NCBITaxon:662	OTHER_BACTERIAL
NCBITaxon:663	OTHER_BACTERIAL
NCBITaxon:666	OTHER_BACTERIAL
NCBITaxon:668	OTHER_BACTERIAL
NCBITaxon:669	OTHER_BACTERIAL
NCBITaxon:670	OTHER_BACTERIAL
NCBITaxon:672	OTHER_BACTERIAL
NCBITaxon:673	OTHER_BACTERIAL
NCBITaxon:674	OTHER_BACTERIAL
NCBITaxon:676	OTHER_BACTERIAL
NCBITaxon:678	OTHER_BACTERIAL
NCBITaxon:680	OTHER_BACTERIAL
NCBITaxon:687	OTHER_BACTERIAL
NCBITaxon:715	OTHER_BACTERIAL
NCBITaxon:720	OTHER_BACTERIAL
NCBITaxon:727	OTHER_BACTERIAL
NCBITaxon:728	OTHER_BACTERIAL
NCBITaxon:747	OTHER_BACTERIAL
NCBITaxon:777	OTHER_BACTERIAL
NCBITaxon:816	OTHER_BACTERIAL
NCBITaxon:817	OTHER_BACTERIAL
NCBITaxon:818	OTHER_BACTERIAL
NCBITaxon:831	OTHER_BACTERIAL
NCBITaxon:837	OTHER_BACTERIAL
NCBITaxon:844	OTHER_BACTERIAL
NCBITaxon:872	OTHER_BACTERIAL
NCBITaxon:891	OTHER_BACTERIAL
NCBITaxon:915	OTHER_BACTERIAL
NCBITaxon:930	OTHER_BACTERIAL
NCBITaxon:940	OTHER_BACTERIAL
NCBITaxon:960	OTHER_BACTERIAL
NCBITaxon:963	OTHER_BACTERIAL
NCBITaxon:964	OTHER_BACTERIAL
NCBITaxon:968	OTHER_BACTERIAL
NCBITaxon:978	OTHER_BACTERIAL
NCBITaxon:985	OTHER_BACTERIAL
NCBITaxon:986	OTHER_BACTERIAL
NCBITaxon:992	OTHER_BACTERIAL
NCBITaxon:997	OTHER_BACTERIAL
NCBITaxon:1004	OTHER_BACTERIAL
NCBITaxon:1005	OTHER_BACTERIAL
NCBITaxon:1007	OTHER_BACTERIAL
NCBITaxon:1008	OTHER_BACTERIAL
NCBITaxon:1017	OTHER_BACTERIAL
NCBITaxon:1041	OTHER_BACTERIAL
NCBITaxon:1042	OTHER_BACTERIAL
NCBITaxon:1044	OTHER_BACTERIAL
NCBITaxon:1046	OTHER_BACTERIAL
NCBITaxon:1047	OTHER_BACTERIAL
NCBITaxon:1048	OTHER_BACTERIAL
NCBITaxon:1049	OTHER_BACTERIAL
NCBITaxon:1051	OTHER_BACTERIAL
NCBITaxon:1052	OTHER_BACTERIAL
NCBITaxon:1054	OTHER_BACTERIAL
NCBITaxon:1056	OTHER_BACTERIAL
NCBITaxon:1058	OTHER_BACTERIAL
NCBITaxon:1060	OTHER_BACTERIAL
NCBITaxon:1061	OTHER_BACTERIAL
NCBITaxon:1063	OTHER_BACTERIAL
NCBITaxon:1069	OTHER_BACTERIAL
NCBITaxon:1071	OTHER_BACTERIAL
NCBITaxon:1073	OTHER_BACTERIAL
NCBITaxon:1074	OTHER_BACTERIAL
NCBITaxon:1076	OTHER_BACTERIAL
NCBITaxon:1079	OTHER_BACTERIAL
NCBITaxon:1080	OTHER_BACTERIAL
NCBITaxon:1084	OTHER_BACTERIAL
NCBITaxon:1085	OTHER_BACTERIAL
NCBITaxon:1087	OTHER_BACTERIAL
NCBITaxon:1092	OTHER_BACTERIAL
NCBITaxon:1094	OTHER_BACTERIAL
NCBITaxon:1096	OTHER_BACTERIAL
NCBITaxon:1097	OTHER_BACTERIAL
NCBITaxon:1100	OTHER_BACTERIAL
NCBITaxon:1108	OTHER_BACTERIAL
NCBITaxon:1119	CYANOBACTERIAL
NCBITaxon:1122	CYANOBACTERIAL
NCBITaxon:1123	CYANOBACTERIAL
NCBITaxon:1124	CYANOBACTERIAL
NCBITaxon:1125	CYANOBACTERIAL
NCBITaxon:1126	CYANOBACTERIAL
NCBITaxon:1127	CYANOBACTERIAL
NCBITaxon:1129	CYANOBACTERIAL
NCBITaxon:1142	CYANOBACTERIAL
NCBITaxon:1143	CYANOBACTERIAL
NCBITaxon:1147	CYANOBACTERIAL
NCBITaxon:1148	CYANOBACTERIAL
NCBITaxon:1152	CYANOBACTERIAL
NCBITaxon:1153	CYANOBACTERIAL
NCBITaxon:1154	CYANOBACTERIAL
NCBITaxon:1158	CYANOBACTERIAL
NCBITaxon:1159	CYANOBACTERIAL
NCBITaxon:1160	CYANOBACTERIAL
NCBITaxon:1163	CYANOBACTERIAL
NCBITaxon:1165	CYANOBACTERIAL
NCBITaxon:1166	CYANOBACTERIAL
NCBITaxon:1167	CYANOBACTERIAL
NCBITaxon:1175	CYANOBACTERIAL
NCBITaxon:1176	CYANOBACTERIAL
NCBITaxon:1177	CYANOBACTERIAL
NCBITaxon:1178	CYANOBACTERIAL
NCBITaxon:1179	CYANOBACTERIAL
NCBITaxon:1180	CYANOBACTERIAL
NCBITaxon:1181	CYANOBACTERIAL
NCBITaxon:1182	CYANOBACTERIAL
NCBITaxon:1183	CYANOBACTERIAL
NCBITaxon:1186	CYANOBACTERIAL
NCBITaxon:1187	CYANOBACTERIAL
NCBITaxon:1190	CYANOBACTERIAL
NCBITaxon:1191	CYANOBACTERIAL
NCBITaxon:1198	CYANOBACTERIAL
NCBITaxon:1199	CYANOBACTERIAL
NCBITaxon:1202	CYANOBACTERIAL
NCBITaxon:1203	CYANOBACTERIAL
NCBITaxon:1204	CYANOBACTERIAL
NCBITaxon:1205	CYANOBACTERIAL
NCBITaxon:1206	CYANOBACTERIAL
NCBITaxon:1207	CYANOBACTERIAL
NCBITaxon:1208	CYANOBACTERIAL
NCBITaxon:1214	CYANOBACTERIAL
NCBITaxon:1215	CYANOBACTERIAL
NCBITaxon:1216	CYANOBACTERIAL
NCBITaxon:1219	CYANOBACTERIAL
NCBITaxon:1222	CYANOBACTERIAL
NCBITaxon:1223	CYANOBACTERIAL
NCBITaxon:1245	OTHER_BACTERIAL
NCBITaxon:1252	OTHER_BACTERIAL
NCBITaxon:1253	OTHER_BACTERIAL
NCBITaxon:1254	OTHER_BACTERIAL
NCBITaxon:1255	OTHER_BACTERIAL
