standard_inchi_key	identifier	label	antimicrobial_class	slug	corpus_commit
AIBPYVNEBSHOCZ-UHFFFAOYSA-N	CHEBI:65607	5-O-methylcelebixanthone	ANTIPROTOZOAL	5-o-methylcelebixanthone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AIFCFBUSLAEIBR-UHFFFAOYSA-N	CHEBI:5353	ginkgetin	ANTIVIRAL	ginkgetin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AIJTTZAVMXIJGM-UHFFFAOYSA-N	CHEBI:5543	Grepafloxacin	ANTIBACTERIAL	grepafloxacin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AJAFGTUGXORIBL-SCZZXKLOSA-N	CHEBI:149434	6-de(cyclopropylamino)-6-(3-fluoroazetidin-1-yl)abacavir	ANTIVIRAL	6-de-cyclopropylamino-6-3-fluoroazetidin-1-yl-abacavir	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AJJFYSYXUHCPMZ-UHFFFAOYSA-N	CHEBI:143904	3-(4-methyl-1,2,3-thiadiazolyl)-6-trichloromethyl[1,2,4]triazolo[3,4-b][1,3,4]thiadizole	ANTIFUNGAL	3-4-methyl-1-2-3-thiadiazolyl-6-trichloromethyl-1-2-4-triazolo-3-4-b-1	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AJKIRUJIDFJUKJ-UHFFFAOYSA-N	CHEBI:135173	taurolidine	ANTIBACTERIAL	taurolidine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AJLFOPYRIVGYMJ-INTXDZFKSA-N	CHEBI:34848	mevastatin	ANTIFUNGAL	mevastatin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AKBAHATYKFKXLG-RQOWECAXSA-N	CHEBI:82672	pomecin A	ANTIFUNGAL	pomecin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AKHNMLFCWUSKQB-UHFFFAOYSA-L	CHEBI:132112	sodium thiosulfate	ANTIFUNGAL	sodium-thiosulfate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AKLMFDDQCHURPW-ISIOAQNYSA-N	antibioticmech:aro-2d35d60097	eravacycline	ANTIBACTERIAL	eravacycline	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AKNQMEBLVAMSNZ-UHFFFAOYSA-N	CHEBI:81898	azaconazole	ANTIFUNGAL	azaconazole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AKPUCJQSLKCIIJ-UHFFFAOYSA-N	CHEBI:105887	2,2'-spirobi[3,6,7,8-tetrahydro-1H-cyclopenta[g]naphthalene]-5,5'-dione	ANTIVIRAL	2-2-spirobi-3-6-7-8-tetrahydro-1h-cyclopenta-g-naphthalene-5-5-dione	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AKSOODVGSHGQHA-VMXHOPILSA-N	antibioticmech:aro-a23579298c	halolitoralin B	ANTIBACTERIAL	halolitoralin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AKYRQFMQZJFLAE-UHFFFAOYSA-N	antibioticmech:aro-f538304a82	isovanillobiocin	ANTIBACTERIAL	isovanillobiocin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AKZFRMNXBLFDNN-GVHKZQBISA-K	CHEBI:78039	meso-tetrakis(N-methyl-4-pyridyl)porphine tetrakis(p-toluenesulfonate)	ANTIVIRAL	meso-tetrakis-n-methyl-4-pyridyl-porphine-tetrakis-p-toluenesulfonate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ALKMFECERUDLEI-UBXCSCSKSA-N	CHEBI:66499	yuccalan	ANTIFUNGAL	yuccalan	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ALZAOGATQMXJKX-UQRCBBHQSA-N	CHEBI:15906	demethylmacrocin	ANTIMICROBIAL_UNSPECIFIED	demethylmacrocin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AMEKQAFGQBKLKX-UHFFFAOYSA-N	CHEBI:7858	oxycarboxin	ANTIFUNGAL	oxycarboxin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AMHNZOICSMBGDH-UHFFFAOYSA-L	CHEBI:52498	zineb	ANTIFUNGAL	zineb	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AMSNINGPDSUBHZ-WAUQNXBMSA-N	CHEBI:66669	8-hydroxymanzamine A	ANTIVIRAL	8-hydroxymanzamine-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AMSPWOYQQAWRRM-UHFFFAOYSA-N	CHEBI:83345	metrafenone	ANTIFUNGAL	metrafenone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AMTPYFGPPVFBBI-UHFFFAOYSA-N	CHEBI:139474	acedapsone	ANTIPROTOZOAL	acedapsone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ANNNBEZJTNCXHY-NSCUHMNNSA-N	CHEBI:167830	isorhapontigenin	ANTIVIRAL	isorhapontigenin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ANTPCIKREGVPQT-UHFFFAOYSA-N	CHEBI:82658	N-benzyl-N-methyl-2-(3-oxo-1,2-benzothiazol-2-yl)acetamide	ANTIFUNGAL	n-benzyl-n-methyl-2-3-oxo-1-2-benzothiazol-2-yl-acetamide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ANUSOIHIIPAHJV-UHFFFAOYSA-N	CHEBI:556580	fenticlor	ANTIFUNGAL	fenticlor	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AOJJSUZBOXZQNB-TZSSRYMLSA-N	CHEBI:28748	doxorubicin	ANTIMICROBIAL_UNSPECIFIED	doxorubicin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AOJJSUZBOXZQNB-VTZDEGQISA-N	CHEBI:47898	4'-epidoxorubicin	ANTIMICROBIAL_UNSPECIFIED	4-epidoxorubicin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AOJYFODHRHWWEN-GQUXZSRASA-N	CHEBI:65741	4'-O-demethylknipholone-4'-O-β-D-glucopyranoside	ANTIPROTOZOAL	4-o-demethylknipholone-4-o-β-d-glucopyranoside	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AOXXVRDKZLRGTJ-AZIDVCJLSA-N	CHEBI:142261	ganoderol B	ANTIVIRAL	ganoderol-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
APFSAMXTZRYBKF-REOHCLBHSA-N	CHEBI:64855	N-carbamoyl-L-cysteine	ANTIFUNGAL	n-carbamoyl-l-cysteine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
APKFDSVGJQXUKY-INPOYWNPSA-N	CHEBI:2682	amphotericin B	ANTIFUNGAL	amphotericin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AQAFUDMWTUOKSI-USVVNQICSA-N	CHEBI:66748	phomacin C	ANTIMICROBIAL_UNSPECIFIED	phomacin-c	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AQLJVWUFPCUVLO-UHFFFAOYSA-N	CHEBI:75178	urea hydrogen peroxide	BIOCIDE	urea-hydrogen-peroxide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AQQYZHDRTDSOER-LYKBUVKOSA-N	CHEBI:156298	aurafuron A	ANTIFUNGAL	aurafuron-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AQZHBCDRWFMXIN-UHFFFAOYSA-N	CHEBI:7632	norlichexanthone	ANTIPROTOZOAL	norlichexanthone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ARAIATBRBSWLHC-ZJUUUORDSA-N	CHEBI:149431	6-de(cyclopropylamino)-6-(azetidin-1-yl)abacavir	ANTIVIRAL	6-de-cyclopropylamino-6-azetidin-1-yl-abacavir	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ARAIBEBZBOPLMB-UFGQHTETSA-N	CHEBI:50663	zanamivir	ANTIVIRAL	zanamivir	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ARPUHYJMCVWYCZ-UHFFFAOYSA-N	CHEBI:59936	ciprofloxacin hydrochloride hydrate	ANTIBACTERIAL	ciprofloxacin-hydrochloride-hydrate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ARXPDHLVDOYIPX-UHFFFAOYSA-N	CHEBI:133814	flavasperone	ANTIVIRAL	flavasperone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ASOJLQIBBYOFDE-OUYMVFBDSA-N	antibioticmech:aro-5d5ecfee72	efrotomycin	ANTIBACTERIAL	efrotomycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ASWVTGNCAZCNNR-UHFFFAOYSA-N	CHEBI:102265	sulfamethazine	ANTIBACTERIAL	sulfamethazine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
