old_taxon_id	new_taxon_id	requested_by
NCBITaxon:73828	NCBITaxon:3024264	lotus
NCBITaxon:74371	NCBITaxon:2561917	lotus
NCBITaxon:74465	NCBITaxon:2771340	chebi_origins,lotus
NCBITaxon:75549	NCBITaxon:1194566	lotus
NCBITaxon:76756	NCBITaxon:113559	chebi_origins,lotus
NCBITaxon:78589	NCBITaxon:610258	lotus
NCBITaxon:79816	NCBITaxon:1934379	chebi_origins
NCBITaxon:81037	NCBITaxon:77608	lotus
NCBITaxon:82078	NCBITaxon:63405	lotus
NCBITaxon:82737	NCBITaxon:2807146	lotus
NCBITaxon:83383	NCBITaxon:67370	lotus
NCBITaxon:83514	NCBITaxon:1500860	lotus
NCBITaxon:84029	NCBITaxon:36839	lotus
NCBITaxon:84593	NCBITaxon:1873	chebi_origins,lotus
NCBITaxon:85080	NCBITaxon:2819903	lotus
NCBITaxon:85838	NCBITaxon:2163920	lotus
NCBITaxon:85884	NCBITaxon:2945705	lotus
NCBITaxon:85974	NCBITaxon:2655010	chebi_origins
NCBITaxon:86064	NCBITaxon:3681102	lotus
NCBITaxon:86706	NCBITaxon:2706154	lotus
NCBITaxon:87299	NCBITaxon:81056	chebi_origins
NCBITaxon:90406	NCBITaxon:1972712	lotus
NCBITaxon:91099	NCBITaxon:2338865	lotus
NCBITaxon:93153	NCBITaxon:2654838	lotus
NCBITaxon:93596	NCBITaxon:796314	lotus
NCBITaxon:94999	NCBITaxon:3446125	chebi_origins
NCBITaxon:97146	NCBITaxon:2823494	lotus
NCBITaxon:98287	NCBITaxon:1903275	lotus
NCBITaxon:98347	NCBITaxon:71963	lotus
NCBITaxon:98779	NCBITaxon:139123	chebi_origins
NCBITaxon:99905	NCBITaxon:1413812	chebi_origins
NCBITaxon:100031	NCBITaxon:2153283	lotus
NCBITaxon:104895	NCBITaxon:3681166	lotus
NCBITaxon:105184	NCBITaxon:3681044	lotus
NCBITaxon:106551	NCBITaxon:2980405	lotus
NCBITaxon:108923	NCBITaxon:2219008	chebi_origins,lotus
NCBITaxon:108943	NCBITaxon:640397	lotus
NCBITaxon:110149	NCBITaxon:2074842	chebi_origins
NCBITaxon:112239	NCBITaxon:2018440	lotus
NCBITaxon:113609	NCBITaxon:2587388	lotus
NCBITaxon:114700	NCBITaxon:114699	mibig
NCBITaxon:117020	NCBITaxon:2909142	lotus
NCBITaxon:117507	NCBITaxon:1849970	lotus
NCBITaxon:117524	NCBITaxon:91053	lotus
NCBITaxon:117550	NCBITaxon:1928361	lotus
NCBITaxon:118898	NCBITaxon:1680166	lotus
NCBITaxon:118899	NCBITaxon:1680167	lotus
NCBITaxon:119178	NCBITaxon:2806850	lotus
NCBITaxon:121482	NCBITaxon:121481	lotus
NCBITaxon:121497	NCBITaxon:1162793	lotus
NCBITaxon:128386	NCBITaxon:1826755	lotus
NCBITaxon:129507	NCBITaxon:1986327	lotus
NCBITaxon:130183	NCBITaxon:2714023	lotus
NCBITaxon:130257	NCBITaxon:2576591	lotus
NCBITaxon:132102	NCBITaxon:1659837	chebi_origins
NCBITaxon:133239	NCBITaxon:1155244	lotus
NCBITaxon:134914	NCBITaxon:1898705	lotus
NCBITaxon:134915	NCBITaxon:1898706	chebi_origins
NCBITaxon:135489	NCBITaxon:3681172	lotus
NCBITaxon:135650	NCBITaxon:2718965	chebi_origins,lotus
NCBITaxon:136212	NCBITaxon:136216	lotus
NCBITaxon:136720	NCBITaxon:13503	lotus
NCBITaxon:139088	NCBITaxon:230807	lotus
NCBITaxon:139420	NCBITaxon:2498619	lotus
NCBITaxon:139434	NCBITaxon:2057570	chebi_origins
NCBITaxon:139763	NCBITaxon:2607178	lotus
NCBITaxon:139766	NCBITaxon:2607118	lotus
NCBITaxon:140560	NCBITaxon:1736665	chebi_origins
NCBITaxon:140663	NCBITaxon:2854737	lotus
NCBITaxon:142672	NCBITaxon:281305	chebi_origins
NCBITaxon:143204	NCBITaxon:2491249	lotus
NCBITaxon:143883	NCBITaxon:281306	lotus
NCBITaxon:146301	NCBITaxon:2016030	lotus
NCBITaxon:146429	NCBITaxon:1697123	lotus
NCBITaxon:150783	NCBITaxon:2100787	lotus
NCBITaxon:151252	NCBITaxon:3139248	lotus
NCBITaxon:153480	NCBITaxon:2086684	chebi_origins,lotus
NCBITaxon:154422	NCBITaxon:83431	lotus
NCBITaxon:154614	NCBITaxon:2596653	lotus
NCBITaxon:154651	NCBITaxon:2773500	lotus
NCBITaxon:155018	NCBITaxon:2777731	chebi_origins,lotus
NCBITaxon:155247	NCBITaxon:1391944	chebi_origins
NCBITaxon:155871	NCBITaxon:1934393	chebi_origins
NCBITaxon:155873	NCBITaxon:2587399	chebi_origins
NCBITaxon:155874	NCBITaxon:1934356	chebi_origins
NCBITaxon:155879	NCBITaxon:1934362	lotus
NCBITaxon:157706	NCBITaxon:3151107	chebi_origins,lotus
NCBITaxon:158218	NCBITaxon:3104593	lotus
NCBITaxon:159059	NCBITaxon:2901850	chebi_origins,lotus
