standard_inchi_key	smiles	pathway_results	superclass_results	class_results	is_glycoside	model_version
GWNJJGVVPXPMNY-LVHWZTDZSA-N	CC(C)CC(=O)[C@@H]1O[C@@H]1/C=C/CC(=O)N[C@H](CN(C)C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)C(C)Cl)C(C)C	Amino acids and Peptides	Small peptides	Tripeptides	false	npclassifier.gnps2.org@2026-09-07
GWUHJAFRKSUHOU-CUIYLFHFSA-N	CC=C(NC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)C(=O)N[C@@H](CO)C(=O)NC(=CC)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1[C@H]1NC(C(=O)N[C@@H](CCSC)C(=O)O)CS1	Amino acids and Peptides	Oligopeptides	Linear peptides	false	npclassifier.gnps2.org@2026-09-07
GXAIIEQOZICWEL-UHFFFAOYSA-N	O=C1C=C(O)C(C2=CC(O)=C(C3=C(O)C=C(C(C(O)=CC4=O)=O)C4=C3O)C(O)=C21)=O	Polyketides	Naphthalenes	Naphthoquinones	false	npclassifier.gnps2.org@2026-09-07
GXFBXYRIFPTSTH-CQBAVMQGSA-N	CCC1C[C@H]2C[C@@H]3[C@H](C(=O)C[C@@H]4/C=C/C(O)=C5C(=O)N[C@H](C5=O)[C@@H](O)CCNC(=O)/C=C\C[C@H]43)[C@H]2[C@@H]1C	Amino acids and Peptides|Polyketides	Macrolides	Macrocyclic tetramic acids	false	npclassifier.gnps2.org@2026-09-07
GXGDPYPVMOLDBY-UHFFFAOYSA-N	O=C1NC(CC2=CNC3=C2C=CC=C3)=CN=C1CC(C)C	Alkaloids	Tryptophan alkaloids|Nicotinic acid alkaloids	Pyridine alkaloids|Simple indole alkaloids	false	npclassifier.gnps2.org@2026-09-07
GXKAOWYTJPGGBI-BHTIDRDUSA-N	CCCCCCC[C@H](CC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H]2[C@@H](OC(=O)[C@@H](N(C(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@H](C(=O)[C@@H](OC(=O)C[C@@H]([C@@H](NC2=O)[C@@H](C)CC)O)C(C)C)C)CC(C)C)C)CC4=CC=C(C=C4)OC)C)O	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
GXPHTJFKVOCWKQ-PDLCYRHZSA-N	C[C@@H]1C(=C)[C@@H]([C@@]2(C([C@]1(C(=C2C)C)C)C)C)C	Terpenoids	Sesquiterpenoids	Thapsane sesquiterpenoids	false	npclassifier.gnps2.org@2026-09-07
GXPWNJSTQXICQR-HEXFNRFGSA-N	OC1=C2C(NC1CCCNC(/C=C/C=C/[C@@]3(C[C@@]4([C@@]([H])([C@@H](C)[C@@H](CC)C4)[C@@]3([C@](O5)([H])[C@@]5([H])[C@@H](O)/C=C/C2=O)[H])[H])[H])=O)=O	Amino acids and Peptides|Polyketides	Macrolides	Macrocyclic tetramic acids	false	npclassifier.gnps2.org@2026-09-07
GXSYDPCLPOIUNM-SDNZGRCJSA-N	CCCCCCCCCCC[C@H](O)CC(N/C(C(N[C@H](C(N[C@H]([C@@H](O)C)C(N[C@H](CC1=CC=C(O)C=C1)C(N/C(C(N[C@H](CCC(N)=O)C(NC2)=O)=O)=C/C)=O)=O)=O)[C@@H](C)OC([C@@H](CC3=CN=CN3)NC([C@@H](NC2=O)[C@H](C)O)=O)=O)=O)=C\C)=O	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
GYABYKLKVQPSPD-NVWZYQMFSA-N	C/C=C(/CO)\C1=C(C(C[C@]1(C)CO)(C)C)CCO	Terpenoids	Sesquiterpenoids	Botryane sesquiterpenoids	false	npclassifier.gnps2.org@2026-09-07
GYDWJGNTAAWKAR-DAUQQIRWSA-N	CCCCCCCCCCCCC/C=C\CCC(OC(=O)[C@H](CCCCN(O)C=O)NC(=O)[C@H]1N=C(C2=CC=CC=C2O)O[C@@H]1C)C(C)C(=O)N[C@@H]1CCCCN(O)C1=O	Amino acids and Peptides|Polyketides	Oligopeptides	Depsipeptides|Linear peptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
GYHNNYHTWLMRSY-CSNAFCJMSA-N	[H][C@@]1(C[C@H](O)[C@]([H])(O[C@]2([H])C[C@@H](OC)[C@]([H])(O[C@@]3([H])C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1C(C)CCCC2(C)C=C(C)C(C)CC22OC(=O)C(=C2O)C(=O)C2(CC)C3C(C)C(=O)CC(O)C3C=C(C)C2\C(CC)=C\C(CO)CC1C	Polyketides	Macrolides	Spirotetronate macrolides	true	npclassifier.gnps2.org@2026-09-07
