standard_inchi_key	cid	aid	assay_name	assay_type	depositor	activity_outcome	activity_name	activity_value_um	target_accession	reference
ABLACSIRCKEUOB-UHFFFAOYSA-N	5282060		(no assay data)							
ABLCZPDNHVQCBP-VPWXQRGCSA-N	123132247		(no assay data)							
ABYMZHOAONVEQS-VROXFSQNSA-N	58351276		(no assay data)							
ADTVCAUSELVFML-UHFFFAOYSA-N	101679241		(no assay data)							
AECZOENDDUTONS-PWSPGYJUSA-N	6442793		(no assay data)							
AEIFATUAVHHRBC-GYPCSUJESA-N	20055307		(no assay data)							
AFSTYHWLXPLSTJ-UHFFFAOYSA-N	102196435		(no assay data)							
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1645886	Validation qHTS for antagonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	3.1623		
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1645886	Validation qHTS for antagonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	3.1623	Q8WZA2	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1645887	Validation qHTS for agonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	1.122		
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1645887	Validation qHTS for agonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	1.122	Q8WZA2	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1845192	Primary qHTS Assay for Inhibitors of Recombinant Selenoprotein Glutathione Peroxidase 4 (GPX4)	Confirmatory	NCGC	Inconclusive	Potency	22.3872		
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	1845192	Primary qHTS Assay for Inhibitors of Recombinant Selenoprotein Glutathione Peroxidase 4 (GPX4)	Confirmatory	NCGC	Inconclusive	Potency	22.3872	P36969	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	720532	qHTS for Inhibitors of binding or entry into cells for Marburg Virus	Confirmatory	NCGC	Active	Potency	15.8489	B45705	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	743035	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway	Confirmatory	824	Inconclusive	Potency	0.0076	AAI32976	
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	743064	qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	0.266		
AGJUUQSLGVCRQA-PJEYIJQRSA-N	60196306	743075	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway	Confirmatory	824	Inactive	Potency	15.089	AEP43755	
AHDUXXXZGSWYHF-IXGGKXOYSA-N	25220882		(no assay data)							
AINNQKIVZOTQBB-KGLIPLIRSA-N	146354		(no assay data)							
AJZNARCWDDMOPL-WMZOPIPTSA-N	128363		(no assay data)							
AKFVOKPQHFBYCA-UHFFFAOYSA-N	16130049		(no assay data)							
AKKGAIKLKJWDBP-WECLKIJSSA-N	139591392		(no assay data)							
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117298	qHTS Assay for Identifying Compounds that block Entry of Ebola Virus, Screen 2 green channel	Confirmatory	NCGC	Inactive	AC50	2.8184		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117304	qHTS Assay for Identifying Compounds that block Entry of Ebola Virus, Screen 2 blue channel	Confirmatory	NCGC	Inactive	AC50	39.8107		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117305	qHTS Assay for Identifying Compounds that block Entry of Ebola Virus, Screen 2 ratio channel	Confirmatory	NCGC	Inactive	AC50	1		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117310	qHTS Assay for Identifying Compounds that block Entry of Ebola Virus: Screen 2, green channel	Confirmatory	NCGC	Inactive	Ac50	2.81838		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117312	qHTS Assay for Identifying Compounds that block Entry of Ebola Virus: Screen2, ratio channel	Confirmatory	NCGC	Inactive	Ac50	1		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117314	qHTS Assay for Identifying Compounds that block Entry of Ebola Virus: Screen 2, blue channel	Confirmatory	NCGC	Inactive	Ac50	39.8107		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117336	GSK3B-pretreated HCT116 viability from Cell TiterGlo-screen	Screening	846	Active				
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1117343	SW480 viability from Cell TiterGlo-screen	Screening	846	Active				
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1195	DSSTox (FDAMDD) FDA Maximum (Recommended) Daily Dose Database	Other	EPA DSSTox	Active				
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224834	qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library - cell viability counter screen	Confirmatory	824	Active	Potency	11.8832		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224836	qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway - cell viability counter screen	Confirmatory	824	Active	Potency	8.4127		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224837	qHTS assay to identify small molecule antagonists of the constitutive androstane receptor (CAR) signaling pathway - cell viability counter screen	Confirmatory	824	Active	Potency	10.5909		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224839	qHTS assay to identify small molecule agonists of the constitutive androstane receptor (CAR) signaling pathway	Confirmatory	824	Inconclusive	Potency	23.7101	AAY56401	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224840	qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	11.8832		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224849	qHTS assay to identify small molecule agonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library	Confirmatory	824	Inactive	Potency	33.4915	ADZ17378	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224868	qHTS RealTime-Glo MT Cell Viability Assay in HEK293 cells - 32 hour	Confirmatory	824	Inconclusive	Potency	18.9959		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224874	qHTS RealTime-Glo MT Cell Viability Assay in HEK293 cells - 40 hour	Confirmatory	824	Inconclusive	Potency	18.9959		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224879	A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 40 hour	Confirmatory	824	Inconclusive	Potency	26.8325		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224883	A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 32 hour	Confirmatory	824	Inconclusive	Potency	26.8325		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1224886	qHTS RealTime-Glo MT Cell Viability Assay in HEK293 cells - 24 hour	Confirmatory	824	Inconclusive	Potency	9.5205		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259241	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line in the presence of 0.1 nM 17-beta-estradiol - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	7.4978		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259244	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line in the presence of 0.1 nM 17-beta-estradiol	Confirmatory	824	Inconclusive	Potency	29.8493	AEP43755	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259366	qHTS assay to identify small molecule agonists of the sonic hedgehog signaling (Shh) pathway - cell viability counter screen	Confirmatory	824	Active	Potency	2.1132		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259367	qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway - cell viability counter screen	Confirmatory	824	Active	Potency	3.3491		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259369	qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway	Confirmatory	824	Inconclusive	Potency	33.4915	AAI13617	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259379	qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway in the presence of an antagonist - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	10.5909		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259386	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway in the presence of an antagonist - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	5.9557		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259392	qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary	Summary	824	Inconclusive	Potency	25.1151	AAI13617	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259403	qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library: Summary	Summary	824	Inconclusive	Potency	33.4915	ADZ17378	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1259407	CCRIS mutagenicity studies	Other	22070	Active				
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1345085	Confirmatory qHTS for gynecologic anti-cancer compounds from libraries of approved drugs and bioactive compounds	Confirmatory	NCGC	Active		24.3156		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1345085	Confirmatory qHTS for gynecologic anti-cancer compounds from libraries of approved drugs and bioactive compounds	Confirmatory	NCGC	Active		30.6116		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1346977	Human pregnane X receptor (PXR) small molecule agonists, qHTS cell viability counter screen	Confirmatory	824	Inconclusive	Potency	14.9601		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1346979	Caspase-3/7 induction in CHO-K1 cells by small molecules, qHTS cell viability counter screen	Confirmatory	824	Active	Potency	13.3332		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1346981	Caspase-3/7 induction in HepG2 cells by small molecules, qHTS cell viability counter screen	Confirmatory	824	Active	Potency	14.9601		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1346982	Human pregnane X receptor (PXR) small molecule agonists, qHTS assay	Confirmatory	824	Active	Potency	11.8832	ADZ17384	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1346985	Human pregnane X receptor (PXR) activation by small molecules, qHTS assay	Confirmatory	824	Active	Potency	22.3872	ADZ17384	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1346987	P-glycoprotein substrates identified in KB-8-5-11 adenocarcinoma cell line, qHTS therapeutic library screen	Confirmatory	NCGC	Inconclusive	Potency	16.3601		PMID:31515284
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1347033	Human pregnane X receptor (PXR) small molecule agonists: Summary	Summary	824	Active				
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1347050	Natriuretic polypeptide receptor (hNpr2) antagonism - Pilot subtype selectivity assay	Other	NCGC	Active	Potency	16.4816	NP_003986	PMID:31292265
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1347053	NS1 protein of Zika virus - qHTS assay to identify small molecule inhibitors in human HEK 293 cells	Confirmatory	NCGC	Inactive	Potency	35.4813	ASK51714	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1347420	Inhibitor identification of human QSOX1 enzyme: high-throughput screening using HyperBlu(TM) assay	Other	Burnham Center for Chemical Genomics	Active				
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1508630	Primary qHTS for small molecule stabilizers of the endoplasmic reticulum resident proteome: Secreted ER Calcium Modulated Protein (SERCaMP) assay	Confirmatory	NCGC	Inactive	Potency	2.2387		PMID:33910017
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1519	qHTS Assay for Lipid Storage Modulators	Confirmatory	NCGC	Inconclusive	Potency	4.4668		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1519	qHTS Assay for Lipid Storage Modulators	Confirmatory	NCGC	Inconclusive	Potency	8.9125		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645840	Cytochrome P450 family 2 subfamily D member 6 (CYP2D6) small molecule antagonists: luciferase cell-based qHTS assay	Confirmatory	NCGC	Active	Potency	4.8975	ANW61984	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645841	Cytochrome P450 family 3 subfamily A member 4 (CYP3A4) small molecule antagonists: luciferase cell-based qHTS assay	Confirmatory	NCGC	Active	Potency	0.4365	ABI96208	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645842	Cytochrome P450 family 2 subfamily C member 9 (CYP2C9) small molecule antagonists: luciferase cell-based qHTS assay	Confirmatory	NCGC	Active	Potency	0.1096	QLI62812	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645870	Primary qHTS for Inhibitors of N-terminal methyltransferase 1 (NTMT1): MTaseGlo Assay	Confirmatory	NCGC	Inactive	Potency	12.5893		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645870	Primary qHTS for Inhibitors of N-terminal methyltransferase 1 (NTMT1): MTaseGlo Assay	Confirmatory	NCGC	Inactive	Potency	12.5893	Q9BV86	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645876	Primary qHTS for inhibitors of nuclear receptor binding SET domain protein 2 (NSD2) in an isogenic RCH-ACV NSD2 p.E1099K mutant (9B)	Confirmatory	NCGC	Inconclusive	Potency	16.7889		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645876	Primary qHTS for inhibitors of nuclear receptor binding SET domain protein 2 (NSD2) in an isogenic RCH-ACV NSD2 p.E1099K mutant (9B)	Confirmatory	NCGC	Inconclusive	Potency	16.7889	O96028	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645877	Primary qHTS for inhibitors of nuclear receptor binding SET domain protein 2 (NSD2) in an RCH-ACV wild type WT cells (2C)	Confirmatory	NCGC	Inconclusive	Potency	26.6086		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645877	Primary qHTS for inhibitors of nuclear receptor binding SET domain protein 2 (NSD2) in an RCH-ACV wild type WT cells (2C)	Confirmatory	NCGC	Inconclusive	Potency	26.6086	O96028	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645887	Validation qHTS for agonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	44.6684		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1645887	Validation qHTS for agonist of cAMP-regulated guanine nucleotide exchange factor 4 (EPAC2)	Confirmatory	NCGC	Inactive	Potency	44.6684	Q8WZA2	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671190	Primary qHTS assay for inhibitors of human arachidonate 12S-lipoxygenase (ALOX12): Round 2	Confirmatory	NCGC	Inconclusive	Potency	28.1838		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671190	Primary qHTS assay for inhibitors of human arachidonate 12S-lipoxygenase (ALOX12): Round 2	Confirmatory	NCGC	Inconclusive	Potency	28.1838	P18054	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671193	GF-AFC viability counterscreen for inhibitors of alpha-synuclein gene (SNCA) expression	Confirmatory	NCGC	Inconclusive	Potency	5.6234		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671196	Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay	Confirmatory	824	Active	Potency	10.964		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671196	Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay	Confirmatory	824	Active	Potency	10.964	ANW61984	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671197	Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay	Confirmatory	824	Active	Potency	1.3803		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671197	Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay	Confirmatory	824	Active	Potency	1.3803	AAV41877	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671198	Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay	Confirmatory	824	Active	Potency	0.8709		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671198	Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay	Confirmatory	824	Active	Potency	0.8709	AGS09764	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671201	Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay	Confirmatory	824	Active	Potency	0.6918		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1671201	Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay	Confirmatory	824	Active	Potency	0.6918	ABI96208	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1745857	Primary qHTS Assay for Foot and Mouth Disease Virus Antivirals against NCGC Sytravon and CBC Compound Libraries: Renilla Luciferase Signal	Confirmatory	NCGC	Inactive	Potency	31.6228		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1745857	Primary qHTS Assay for Foot and Mouth Disease Virus Antivirals against NCGC Sytravon and CBC Compound Libraries: Renilla Luciferase Signal	Confirmatory	NCGC	Inactive	Potency	31.6228	P03308	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1766	qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide	Confirmatory	NCGC	Inconclusive	Potency	39.8107	NP_000235	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1766	qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide	Confirmatory	NCGC	Inconclusive	Potency	39.8107	NP_005924	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1845191	Primary qHTS Assay for Inhibitors of Recombinant Selenoprotein Glutathione Peroxidase 1 (GPX1)	Confirmatory	NCGC	Inconclusive	Potency	28.9746		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1845191	Primary qHTS Assay for Inhibitors of Recombinant Selenoprotein Glutathione Peroxidase 1 (GPX1)	Confirmatory	NCGC	Inconclusive	Potency	28.9746	P07203	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1851	Cytochrome panel assay with activity outcomes	Other	NCGC	Active			NP_000760	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1851	Cytochrome panel assay with activity outcomes	Other	NCGC	Active			NP_000762	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963581	p53 small molecule agonists, cell-based qHTS assay: qHTS cell viability counter screen	Confirmatory	824	Inconclusive	Potency	22.3492		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963582	p53 small molecule agonists, cell-based qHTS assay	Confirmatory	824	Inconclusive	Potency	22.3492		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963582	p53 small molecule agonists, cell-based qHTS assay	Confirmatory	824	Inconclusive	Potency	22.3492	AFN61604	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963584	p53 small molecule agonists, cell-based qHTS assay: Summary	Summary	824	Inconclusive	Potency	22.3492		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963584	p53 small molecule agonists, cell-based qHTS assay: Summary	Summary	824	Inconclusive	Potency	22.3492	AFN61604	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963596	Cytochrome P450 family 3 subfamily A member 7 (CYP3A7) small molecule antagonists: luciferase cell-based qHTS assay	Confirmatory	NCGC	Active	Potency	0.389		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963596	Cytochrome P450 family 3 subfamily A member 7 (CYP3A7) small molecule antagonists: luciferase cell-based qHTS assay	Confirmatory	NCGC	Active	Potency	0.389	NP_000756	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963823	Viability qHTS for spleen associated tyrosine kinase inhibitor (SYKi) naive MV4-11 cells	Confirmatory	NCGC	Inconclusive	Potency	18.8375		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963823	Viability qHTS for spleen associated tyrosine kinase inhibitor (SYKi) naive MV4-11 cells	Confirmatory	NCGC	Inconclusive	Potency	18.8375	P43405	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963824	Viability qHTS for spleen associated tyrosine kinase inhibitor (SYKi) drug resistant MV4-11 cells	Confirmatory	NCGC	Inconclusive	Potency	29.8554		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963824	Viability qHTS for spleen associated tyrosine kinase inhibitor (SYKi) drug resistant MV4-11 cells	Confirmatory	NCGC	Inconclusive	Potency	29.8554	P43405	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963989	Cellular viability qHTS for adrenocortical cancer (ACC) cell line SW-13	Confirmatory	NCGC	Inconclusive	Potency	23.1093		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	1963990	Cellular viability qHTS for adrenocortical cancer (ACC) cell line NCI-H295R	Confirmatory	NCGC	Inconclusive	Potency	29.0929		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	2060322	Primary qHTS for small molecule compounds that upregulate eGFP-tagged delta133p53alpha (in N-terminal) cells.	Confirmatory	NCGC	Inconclusive	Potency	30.1313		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	2060322	Primary qHTS for small molecule compounds that upregulate eGFP-tagged delta133p53alpha (in N-terminal) cells.	Confirmatory	NCGC	Inconclusive	Potency	30.1313	NP_001119587	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	2060322	Primary qHTS for small molecule compounds that upregulate eGFP-tagged delta133p53alpha (in N-terminal) cells.	Confirmatory	NCGC	Active	Potency	21.8904		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	2060322	Primary qHTS for small molecule compounds that upregulate eGFP-tagged delta133p53alpha (in N-terminal) cells.	Confirmatory	NCGC	Active	Potency	21.8904	NP_001119587	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	2202548	Primary qHTS to identify anti-liver cancer compounds using libraries of approved drugs and bioactive compounds	Confirmatory	NCGC	Inconclusive	Potency	35.4813		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	2202553	Cellular viability qHTS for anaplastic thyroid cancer (ATC) cell line 8505C	Confirmatory	NCGC	Inconclusive	Potency	23.0153		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	2716	Luminescence Microorganism Primary HTS to Identify Inhibitors of the SUMOylation Pathway Using a Temperature Sensitive Growth Reversal Mutant Mot1-301	Screening	Broad Institute	Active				
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	485294	qHTS Inhibitors of AmpC Beta-Lactamase (assay with detergent)	Confirmatory	NCGC	Inconclusive	Potency	39.8107	2HDS_A	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	485297	qHTS Assay for Rab9 Promoter Activators	Confirmatory	NCGC	Inactive	Potency	115.821	NP_004242	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	485298	qHTS Assay for Small Molecule Inhibitors of Mitochondrial Division or Activators of Mitochondrial Fusion	Confirmatory	NCGC	Inconclusive	Potency	23.1093		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	488953	qHTS Validation Assay for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails	Confirmatory	NCGC	Inconclusive	Potency	89.1251	NP_001120700	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	493153	Nrf2 qHTS screen for inhibitors: Validation	Confirmatory	NCGC	Inconclusive	Potency	16.3601		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	493153	Nrf2 qHTS screen for inhibitors: Validation	Confirmatory	NCGC	Inconclusive	Potency	16.3601	NP_001138884	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	504332	qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a	Confirmatory	NCGC	Inconclusive	Potency	23.7781	CAQ07474	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	504444	Nrf2 qHTS screen for inhibitors	Confirmatory	NCGC	Inconclusive	Potency	10.3225	NP_001138884	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	504832	Primary qHTS for delayed death inhibitors of the malarial parasite plastid, 48 hour incubation	Confirmatory	NCGC	Inconclusive	Potency	10.4179		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	504834	Primary qHTS for delayed death inhibitors of the malarial parasite plastid, 96 hour incubation	Confirmatory	NCGC	Inconclusive	Potency	14.7157		
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	540276	qHTS for inhibitors of binding or entry into cells for Marburg Virus	Confirmatory	NCGC	Inconclusive	Potency	11.5774	B45705	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	540303	qHTS for Inhibitors of Cell Surface uPA Generation	Confirmatory	NCGC	Inconclusive	Potency	14.1254	NP_032899	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	540303	qHTS for Inhibitors of Cell Surface uPA Generation	Confirmatory	NCGC	Inconclusive	Potency	14.1254	NP_032903	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	540303	qHTS for Inhibitors of Cell Surface uPA Generation	Confirmatory	NCGC	Inconclusive	Potency	14.1254	NP_035243	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	588349	qHTS for Inhibitors of ATXN expression: Validation of Cytotoxic Assay	Confirmatory	NCGC	Inconclusive	Potency	3.5481		PMID:35787375
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	588453	qHTS Assay for Inhibitors of Mammalian Selenoprotein Thioredoxin Reductase 1 (TrxR1): qHTS	Confirmatory	NCGC	Inactive	Potency	0.3981	AAC35244	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	598	Human H69AR Lung Tumor Cell Growth Inhibition Assay - 86K Screen	Screening	SRMLSC	Active				
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	602310	qHTS for Inhibitors of Vif-A3G Interactions: qHTS	Confirmatory	NCGC	Inconclusive	Potency	22.3872	NP_068594	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	602440	uHTS Fluorescent Assay Using Nedd8 Protein Substrate for Identification of Inhibitors of Sentrin-Specific Protease 8 (SENP8)	Screening	Burnham Center for Chemical Genomics	Active			NP_660205	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	624146	qHTS for Inhibitors of Glutaminase (GLS): LOPAC Validation	Confirmatory	NCGC	Inactive	Potency	35.4813	AAH38507	
AKNNEGZIBPJZJG-MSOLQXFVSA-N	275196	624297	A quantitative high throughput screen for small molecules that induce DNA re-replication in SW480 colon adenocarcinoma cells.	Confirmatory	NCGC	Inconclusive	Potency	29.0929	NP_056979	
