standard_inchi_key	cid	aid	assay_name	assay_type	depositor	activity_outcome	activity_name	activity_value_um	target_accession	reference
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	720659	qHTS assay for small molecule activators of the human pregnane X receptor (PXR) signaling pathway	Confirmatory	NCGC	Active	Potency	11.2202	ADZ17384	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	720659	qHTS assay for small molecule activators of the human pregnane X receptor (PXR) signaling pathway	Confirmatory	NCGC	Inconclusive	Potency	15.8489	ADZ17384	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	720659	qHTS assay for small molecule activators of the human pregnane X receptor (PXR) signaling pathway	Confirmatory	NCGC	Inconclusive	Potency	5.6234	ADZ17384	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	720691	qHTS assay to identify small molecule agonists of the glucocorticoid receptor (GR) signaling pathway	Confirmatory	824	Inactive	Potency	23.6558	ADP91253	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	720692	qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway	Confirmatory	824	Inconclusive	Potency	6.6671	ADP91253	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	720692	qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway	Confirmatory	824	Inconclusive	Potency	12.7188	ADP91253	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	720693	qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	47.1995		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	720725	qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway: Summary	Summary	824	Active			ADP91253	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	727	Primary biochemical high-throughput screening assay for inhibitors of Focal Adhesion Kinase (FAK)	Screening	The Scripps Research Institute Molecular Screening Center	Active			Q05397	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743012	qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - wild type cell line	Confirmatory	824	Active	Potency	20.89		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743012	qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - wild type cell line	Confirmatory	824	Active	Potency	19.9805		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743014	qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - Rev3 mutant cell line	Confirmatory	824	Active	Potency	16.5935		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743014	qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - Rev3 mutant cell line	Confirmatory	824	Active	Potency	22.4185		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743015	qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - Rad54/Ku70 mutant cell line	Confirmatory	824	Active	Potency	16.5935		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743015	qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - Rad54/Ku70 mutant cell line	Confirmatory	824	Active	Potency	17.8077		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743033	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway - cell viability counter screen	Confirmatory	824	Active	Potency	42.0666		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743033	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	22.6175		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743035	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway	Confirmatory	824	Inconclusive	Potency	3.3415	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743035	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway	Confirmatory	824	Active	Potency	20.1579	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743041	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	52.4733		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743042	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line	Confirmatory	824	Active	Potency	52.4733	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743042	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line	Confirmatory	824	Inconclusive	Potency	25.154	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743053	qHTS assay to identify small molecule agonists of the androgen receptor (AR) signaling pathway: Summary	Summary	824	Inconclusive	Potency	24.3465	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743054	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line: Summary	Summary	824	Inconclusive	Potency	48.971	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743054	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line: Summary	Summary	824	Inconclusive	Potency	23.7469	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743063	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway: Summary	Summary	824	Inconclusive	Potency	27.5806	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743063	qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway: Summary	Summary	824	Active	Potency	19.3989	AAI32976	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743064	qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway - cell viability counter screen	Confirmatory	824	Active	Potency	23.439		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743064	qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway - cell viability counter screen	Confirmatory	824	Active	Potency	19.9805		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743065	qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway	Confirmatory	824	Active	Potency	23.439	NP_001257783	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743065	qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway	Confirmatory	824	Active	Potency	15.8711	NP_001257783	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743067	qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary	Summary	824	Inconclusive	Potency	20.89	NP_001257783	
