taxon_id	scientific_name	reason	requested_by
NCBITaxon:1	root	root of the taxonomy	mibig
NCBITaxon:12908	unclassified sequences	NCBI's bin for unclassified sequences	mibig
NCBITaxon:32644	unidentified	NCBI's bin for unidentified organisms	chebi_origins
NCBITaxon:77133	uncultured bacterium	uncultured bacterium — shared by every unplaced bacterium	mibig
NCBITaxon:155900	uncultured organism	uncultured organism — shared by every unplaced organism	mibig
NCBITaxon:1163772	sponge metagenome	under metagenomes — a community, not an organism	mibig
NCBITaxon:3229850	synthetic microbial community	under unclassified sequences	chebi_origins
