standard_inchi_key	compound_name	taxon_id	taxon_label	strain	field_sample	nmr_used	reference
TVMMZYBZNKBAOH-UHFFFAOYSA-N	Tjipanazol K	NCBITaxon:56108	Fischerella ambigua	n.a.		yes	DOI:10.1002/cbic.202000025
ULCGNHFUBLOLRR-YLBNWIERSA-N	N-methylwelwitindolinone C isothiocyanate	NCBITaxon:162986	Hapalosiphon welwitschii	n.a.		yes	DOI:10.1021/ja00101a015
VJFRQMMMXJJUSM-VZGZUROSSA-N	Aerucyclamide A	NCBITaxon:1126	Microcystis aeruginosa	PCC 7806		yes	PMID:18558743
VJNFZONNMHDIHW-DYIBVVGTSA-N	Microcyclamide A	NCBITaxon:1126	Microcystis aeruginosa	n.a.		yes	PMID:11000050
VSHFFGIAFGCZHA-YIZRAAEISA-N	Tenuecyclamide A	NCBITaxon:503013	Nostoc spongiaeforme	TAU IL-184-6		yes	PMID:9784161
WZVRXEOKWMIDDV-APHGSVRASA-N	Aeruginosin 98B	NCBITaxon:1126	Microcystis aeruginosa	NIES 98		yes	DOI:10.1016/0040-4039(95)00396-T
XIXVXXYJRITWPP-YLBNWIERSA-N	N-methylwelwitinsolinone C isonitrile	NCBITaxon:162986	Hapalosiphon welwitschii	n.a.		yes	DOI:10.1021/ja00101a015
XLRFBPJWPHKLJV-OKKVMHGVSA-N	Welwitindolinone A isonitrile	NCBITaxon:162986	Hapalosiphon welwitschii	n.a.		yes	DOI:10.1021/ja00101a015
XNSXDDHLEKKURV-PJYKFWTKSA-N	Ambiguine B isonitrile	NCBITaxon:56108	Fischerella ambigua	UTEX 1903		yes	DOI:10.1021/jo00029a014
XOKJUSAYZUAMGJ-WOUKDFQISA-N	Toyocamycin	NCBITaxon:457083	Tolypothrix tenuis	n.a.	Palolo Valley, Oahu; Sacred Falls, Oahu, Sabie River	Yes	DOI:10.1021/ja01004a076
XQSIQLHXAPICNQ-UHFFFAOYSA-N	Microginin 735	NCBITaxon:1126	Microcystis aeruginosa	LEGE 91341		no	DOI:10.1021/acssynbio.2c00389
XUTNXUICNNBAHB-UHFFFAOYSA-N	Microginin 769	NCBITaxon:1126	Microcystis aeruginosa	LEGE 91341		no	DOI:10.1021/acssynbio.2c00389
YIXMOSKWKGHGSQ-LOSJGSFVSA-N	Ambiguine P	NCBITaxon:56108	Fischerella ambigua	UTEX 1903		yes	DOI:10.1016/j.phytochem.2010.09.004
ZDTMYQLDHDONSC-NOSQDEANSA-N	Scytocyclamide B2	NCBITaxon:1342289	Scytonema hofmannii	PCC 7110	Crystal Cave, limestone, Bermuda, UK	no	DOI:10.1101/2020.05.29.098152
ZGJIVWQOEHQWLW-SWTUTNCKSA-N	Patellamide A	NCBITaxon:1216	Prochloron didemni	n.a.	collected in the Republic of Palau in 2002	no	DOI:10.1073/pnas.0501424102
ZVBCZYGMKQOJFW-QDUSTFBWSA-N	12-epi-Fischerindole I isonitrile	NCBITaxon:162986	Hapalosiphon welwitschii	n.a.		yes	DOI:10.1021/ja00101a015
ZYZCGGRZINLQBL-GWRQVWKTSA-N	MC-LR	NCBITaxon:1126	Microcystis aeruginosa	n.a.		yes	DOI:10.1039/p19850002747
