organism_name	taxon_id	name_class	requested_by
Actinostrobus pyramidalis	NCBITaxon:214228	synonym	lotus
Adelanthus decipiens	NCBITaxon:402628	synonym	lotus
Adenia reticulata	NCBITaxon:3740567	scientific name	lotus
Adenium boehmianum	NCBITaxon:3740575	scientific name	lotus
Adenostemma brasilianum	NCBITaxon:3740681	scientific name	lotus
Adesmia aconcaguensis	NCBITaxon:3740696	scientific name	lotus
Adina cordifolia	NCBITaxon:43493	synonym	lotus
Adina trichotoma	NCBITaxon:170058	scientific name	lotus
Adonis aleppica	NCBITaxon:3392209	scientific name	lotus
Adonis leiosepala	NCBITaxon:3740841	scientific name	lotus
Adonis tianschanica	NCBITaxon:3366734	scientific name	lotus
Adonis wolgensis	NCBITaxon:2898461	synonym	lotus
Aegilops ovata	NCBITaxon:130459	synonym	lotus
Aegiphila obducta	NCBITaxon:3741014	scientific name	lotus
Aeollanthus parvifolius	NCBITaxon:3741092	scientific name	lotus
Aeollanthus pubescens	NCBITaxon:3741096	scientific name	lotus
Aeollanthus rydingianus	NCBITaxon:3741099	scientific name	lotus
Aerva lanata	NCBITaxon:292353	synonym	lotus
Aeschynomene brasiliana	NCBITaxon:449473	synonym	lotus
Aeschynomene mimosifolia	NCBITaxon:3083617	scientific name	chebi_origins,lotus
Aetokthonos hydrillicola	NCBITaxon:1550245	scientific name	cyanometdb
Affonsea aptera	NCBITaxon:2793455	synonym	lotus
Aframomum aulacocarpos	NCBITaxon:3741756	scientific name	lotus
Aframomum cereum	NCBITaxon:3741757	scientific name	lotus
Aframomum exscapum	NCBITaxon:3741763	scientific name	lotus
Aframomum giganteum	NCBITaxon:3741765	scientific name	lotus
Aframomum kayserianum	NCBITaxon:3741768	scientific name	lotus
Aganosma heynei	NCBITaxon:3741950	scientific name	lotus
Agapanthus inapertus	NCBITaxon:3741954	scientific name	lotus
Agaricus amboinensis	NCBITaxon:2952274	synonym	lotus
Agaricus bisporus	NCBITaxon:5341	scientific name	bindingdb
Agaricus praeclaresquamosus	NCBITaxon:314553	synonym	lotus
Agaricus smithii	NCBITaxon:3422570	synonym	lotus
Agastache cusickii	NCBITaxon:3057180	scientific name	lotus
Agastache occidentalis	NCBITaxon:3057182	scientific name	lotus
Agastache parvifolia	NCBITaxon:3057183	scientific name	lotus
Agasthiyamalaia pauciflora	NCBITaxon:3138976	synonym	lotus
Agathis palmerstoni	NCBITaxon:58028	synonym	lotus
Agathosma affinis	NCBITaxon:3742072	scientific name	lotus
Agathosma cedrimontana	NCBITaxon:3742083	scientific name	lotus
Agathosma collina	NCBITaxon:3742086	scientific name	lotus
Agathosma dielsiana	NCBITaxon:3742095	scientific name	lotus
Agathosma mucronulata	NCBITaxon:3742127	scientific name	lotus
Agathosma peglerae	NCBITaxon:3742133	scientific name	lotus
Agathosma puberula	NCBITaxon:3742139	scientific name	lotus
Agathosma recurvifolia	NCBITaxon:3742143	scientific name	lotus
Agathosma scaberula	NCBITaxon:3742153	scientific name	lotus
Agathosma spinosa	NCBITaxon:3742158	scientific name	lotus
Agathosma venusta	NCBITaxon:3742171	scientific name	lotus
Agave brittoniana	NCBITaxon:3742189	scientific name	lotus
Agave cantala	NCBITaxon:2992182	synonym	lotus
Agave gracilipes	NCBITaxon:3742212	scientific name	lotus
Agave karatto	NCBITaxon:3742226	scientific name	lotus
Agave macroacantha	NCBITaxon:382123	synonym	lotus
Agave toumeyana	NCBITaxon:3742275	scientific name	lotus
Ageratina anisochroma	NCBITaxon:1807068	scientific name	lotus
Ageratina arsenei	NCBITaxon:3046110	scientific name	lotus
Ageratina cronquistii	NCBITaxon:3742397	scientific name	lotus
Ageratina espinosarum	NCBITaxon:3742417	scientific name	lotus
Ageratina gilbertii	NCBITaxon:3742427	scientific name	lotus
Ageratina glabrata	NCBITaxon:3742428	scientific name	lotus
Ageratina ixiocladon	NCBITaxon:1194225	scientific name	lotus
Ageratina jocotepecana	NCBITaxon:3742461	scientific name	lotus
Ageratina petiolaris	NCBITaxon:3742517	scientific name	lotus
Ageratina prunellifolia	NCBITaxon:3742523	scientific name	lotus
Ageratina scorodonioides	NCBITaxon:3742550	scientific name	lotus
Ageratina sternbergiana	NCBITaxon:3742563	scientific name	lotus
Ageratina tinifolia	NCBITaxon:573713	scientific name	lotus
Ageratina tristis	NCBITaxon:3742581	scientific name	lotus
Ageratina viscosa	NCBITaxon:3742589	scientific name	lotus
Ageratum corymbosum	NCBITaxon:2653732	scientific name	chebi_origins
Ageratum myriadenium	NCBITaxon:580427	scientific name	lotus
Aglaia abbreviata	NCBITaxon:1679372	scientific name	chebi_origins
Aglaia elliptifolia	NCBITaxon:1609848	scientific name	chebi_origins
Aglaia erythrosperma	NCBITaxon:3742631	scientific name	lotus
Aglaia foveolata	NCBITaxon:1475093	scientific name	chebi_origins
Aglaia gracilis	NCBITaxon:3742633	scientific name	lotus
Aglaia leptantha	NCBITaxon:1472161	scientific name	chebi_origins
Aglaia roxburghiana	NCBITaxon:3742639	scientific name	lotus
Ahnfeltia tobuchiensis	NCBITaxon:2964773	scientific name	lotus
Aiouea tonduzii	NCBITaxon:3743040	scientific name	lotus
Ajania przewalskii	NCBITaxon:463587	synonym	lotus
Ajuga australis	NCBITaxon:2848356	scientific name	lotus
Ajuga bracteosa	NCBITaxon:1585251	scientific name	chebi_origins
Ajuga incisa	NCBITaxon:3743082	scientific name	lotus
Ajuga macrosperma	NCBITaxon:3081611	scientific name	lotus
Ajuga turkestanica	NCBITaxon:3014252	scientific name	lotus
Aka	NCBITaxon:178515	scientific name	lotus
Albatrellus caeruleoporus	NCBITaxon:2530190	synonym	lotus
Albertisia delagoensis	NCBITaxon:3021348	scientific name	lotus
Albertisia villosa	NCBITaxon:3743176	scientific name	lotus
Albizia chinensis	NCBITaxon:587869	scientific name	chebi_origins
Albizia gummifera	NCBITaxon:1561840	scientific name	chebi_origins
Albizia inundata	NCBITaxon:1954508	synonym	chebi_origins
Albonectria rigidiuscula	NCBITaxon:57161	synonym	lotus
Albuca fastigiata	NCBITaxon:3743242	scientific name	lotus
Alcea nudiflora	NCBITaxon:3367341	scientific name	lotus
Alchemilla speciosa	NCBITaxon:3083757	scientific name	lotus
Alchornea rugosa	NCBITaxon:2093295	scientific name	lotus
Aldama atacamensis	NCBITaxon:3746686	scientific name	lotus
Aldama buddlejiformis	NCBITaxon:3746692	scientific name	lotus
Aldama cordifolia	NCBITaxon:684029	scientific name	lotus
Aldama ghiesbreghtii	NCBITaxon:3746701	scientific name	lotus
Aldama gilliesii	NCBITaxon:3746702	scientific name	lotus
Aldama helianthoides	NCBITaxon:3746707	scientific name	lotus
Aldama hypochlora	NCBITaxon:684037	scientific name	lotus
Aldama incana	NCBITaxon:3746713	scientific name	lotus
Aldama lanceolata	NCBITaxon:1048887	scientific name	lotus
Aldama latibracteata	NCBITaxon:3746716	scientific name	lotus
Aldama oblongifolia	NCBITaxon:3746728	scientific name	lotus
Aldama squarrosa	NCBITaxon:684042	scientific name	lotus
Aldama tucumanensis	NCBITaxon:2805006	equivalent name	lotus
Alectoria nigricans	NCBITaxon:413822	synonym	lotus
Alectra arvensis	NCBITaxon:3710940	synonym	lotus
Alepidea comosa	NCBITaxon:3746791	scientific name	lotus
Alepidea insculpta	NCBITaxon:3746797	scientific name	lotus
Alepidea woodii	NCBITaxon:3746805	scientific name	lotus
Aleuritopteris agetae	NCBITaxon:872473	synonym	lotus
Aleuritopteris krameri	NCBITaxon:872473	synonym	lotus
Aleuritopteris mexicana	NCBITaxon:414589	synonym	lotus
Alexa confusa	NCBITaxon:3083775	scientific name	lotus
Alexa cowanii	NCBITaxon:3746815	scientific name	lotus
Alexa herminiana	NCBITaxon:3746817	scientific name	lotus
Alexa leiopetala	NCBITaxon:3746818	scientific name	lotus
Alhagi kirghisorum	NCBITaxon:2689382	scientific name	lotus
Alhagi pseudalhagi	NCBITaxon:47037	synonym	lotus
Alisma plantago	NCBITaxon:15000	equivalent name	lotus
Allanblackia gabonensis	NCBITaxon:3737845	scientific name	lotus
Allanblackia stuhlmannii	NCBITaxon:1548897	scientific name	chebi_origins,lotus
Allium macrochaetum	NCBITaxon:3747136	scientific name	lotus
Allium myrianthum	NCBITaxon:3747167	scientific name	lotus
Allium odorum	NCBITaxon:105309	synonym	lotus
Allium porrum	NCBITaxon:4681	synonym	lotus
Allium turcomanicum	NCBITaxon:3747313	scientific name	lotus
Alnus maximowiczii	NCBITaxon:253216	synonym	lotus
Alnus rugosa	NCBITaxon:109070	synonym	lotus
Aloe adigratana	NCBITaxon:3161444	scientific name	lotus
Aloe barbadensis	NCBITaxon:34199	synonym	chebi_origins,lotus
Aloe bargalensis	NCBITaxon:3161375	scientific name	lotus
Aloe brachystachys	NCBITaxon:3161241	scientific name	lotus
Aloe catengiana	NCBITaxon:3161453	scientific name	lotus
Aloe christianii	NCBITaxon:3161431	scientific name	lotus
Aloe dichotoma	NCBITaxon:888276	synonym	lotus
Aloe gilbertii	NCBITaxon:3161522	scientific name	lotus
Aloe gossweileri	NCBITaxon:3161454	scientific name	lotus
Aloe gracilicaulis	NCBITaxon:3161427	scientific name	lotus
Aloe hemmingii	NCBITaxon:3161430	scientific name	lotus
Aloe hendrickxii	NCBITaxon:3161439	scientific name	lotus
Aloe jacksonii	NCBITaxon:1080450	scientific name	lotus
Aloe labworana	NCBITaxon:3161219	scientific name	lotus
Aloe longistyla	NCBITaxon:3161237	scientific name	lotus
Aloe macleayi	NCBITaxon:3161440	scientific name	lotus
Aloe macrosiphon	NCBITaxon:3161244	scientific name	lotus
Aloe microdonta	NCBITaxon:3161253	scientific name	lotus
Aloe milne-redheadii	NCBITaxon:3161257	scientific name	lotus
Aloe murina	NCBITaxon:3161342	scientific name	lotus
Aloe mutabilis	NCBITaxon:3161398	scientific name	lotus
Aloe officinalis	NCBITaxon:3161272	scientific name	lotus
Aloe otallensis	NCBITaxon:3161246	scientific name	lotus
Aloe palmiformis	NCBITaxon:3161234	scientific name	lotus
Aloe parvidens	NCBITaxon:3161388	scientific name	lotus
Aloe pirottae	NCBITaxon:3161223	scientific name	lotus
Aloe pubescens	NCBITaxon:3161446	scientific name	lotus
Aloe pulcherrima	NCBITaxon:3161391	scientific name	lotus
Aloe pustuligemma	NCBITaxon:3161345	scientific name	lotus
Aloe rabaiensis	NCBITaxon:3161423	scientific name	lotus
Aloe rigens	NCBITaxon:3161429	scientific name	lotus
Aloe rubroviolacea	NCBITaxon:3161476	scientific name	lotus
Aloe rupicola	NCBITaxon:3161451	scientific name	lotus
Aloe saponaria	NCBITaxon:1155789	synonym	lotus
Aloe scorpioides	NCBITaxon:3161332	scientific name	lotus
Aloe squarrosa	NCBITaxon:3161231	scientific name	lotus
Aloe striatula	NCBITaxon:1128809	synonym	lotus
Aloe tororoana	NCBITaxon:3161436	scientific name	lotus
Aloe wickensii	NCBITaxon:3161405	scientific name	lotus
Aloe wilsonii	NCBITaxon:3161442	scientific name	lotus
Aloe yavellana	NCBITaxon:3161438	scientific name	lotus
Aloysia citriodora	NCBITaxon:925377	equivalent name	lotus
Alphonsea gaudichaudiana	NCBITaxon:2998628	scientific name	chebi_origins
