organism_name	taxon_id	name_class	requested_by
Canarium asperum	NCBITaxon:3768257	scientific name	lotus
Canarium australianum	NCBITaxon:3768258	scientific name	lotus
Canarium manii	NCBITaxon:3768288	scientific name	lotus
Canarium tramdenum	NCBITaxon:210350	synonym	lotus
Canavalia maritima	NCBITaxon:3825	synonym	lotus
Canavalia virosa	NCBITaxon:28958	synonym	lotus
Candida albicans	NCBITaxon:5476	scientific name	bindingdb
Candida bogoriensis	NCBITaxon:106002	synonym	lotus
Candida lipolytica	NCBITaxon:4952	synonym	lotus
Candida pulcherrima	NCBITaxon:27326	synonym	lotus
Candida utilis	NCBITaxon:4903	synonym	lotus
Canthium berberidifolium	NCBITaxon:3768361	scientific name	lotus
Canthium schimperianum	NCBITaxon:258757	synonym	lotus
Capparicordis tweediana	NCBITaxon:2321258	synonym	lotus
Capparis flavicans	NCBITaxon:3768500	scientific name	lotus
Capparis formosana	NCBITaxon:3768502	scientific name	lotus
Capparis nobilis	NCBITaxon:3461126	scientific name	lotus
Capsicum annuum var. conoides	NCBITaxon:1499976	synonym	lotus
Capsicum annuum var. grossum	NCBITaxon:40321	synonym	lotus
Caragana alaica	NCBITaxon:3086226	scientific name	lotus
Carapichea affinis	NCBITaxon:3393781	scientific name	lotus
Cardamine komarovii	NCBITaxon:3148870	scientific name	lotus
Carduus getulus	NCBITaxon:3042177	scientific name	lotus
Carduus nigrescens	NCBITaxon:1532313	scientific name	lotus
Carduus vivariensis	NCBITaxon:3042186	synonym	lotus
Carmona retusa	NCBITaxon:263604	synonym	lotus
Caroxylon tuberculatiforme	NCBITaxon:3768772	scientific name	lotus
Carphochaete pringlei	NCBITaxon:558440	synonym	lotus
Carterothamnus anomalochaeta	NCBITaxon:3824789	synonym	lotus
Carthamus arborescens	NCBITaxon:121177	synonym	lotus
Carthamus oxyacantha	NCBITaxon:122010	synonym	lotus
Carum montanum	NCBITaxon:1981248	synonym	lotus
Caryocar coriaceum	NCBITaxon:3768843	scientific name	lotus
Caryodaphnopsis baviensis	NCBITaxon:3109060	scientific name	lotus
Caryomene olivascens	NCBITaxon:3768859	scientific name	lotus
Caryopteris glutinosa	NCBITaxon:2290795	scientific name	chebi_origins
Cascabela thevetia	NCBITaxon:52862	synonym	lotus
Casearia clarkei	NCBITaxon:3768901	scientific name	lotus
Casearia corymbulosa	NCBITaxon:3141196	scientific name	lotus
Casearia grewiifolia	NCBITaxon:2780149	scientific name	chebi_origins
Casearia ilicifolia	NCBITaxon:3768935	scientific name	lotus
Casearia membranacea	NCBITaxon:1609857	scientific name	chebi_origins
Casearia nigrescens	NCBITaxon:2662994	scientific name	chebi_origins
Casearia nigrescens var. lucida	NCBITaxon:1304319	synonym	lotus
Casearia rupestris	NCBITaxon:3769005	scientific name	chebi_origins,lotus
Casearia zeylanica	NCBITaxon:3769042	scientific name	lotus
Casimirella rupestris	NCBITaxon:3769046	scientific name	lotus
Casimiroa greggii	NCBITaxon:985676	scientific name	lotus
Casimiroa pubescens	NCBITaxon:3769051	scientific name	lotus
Cassia angolensis	NCBITaxon:3769070	scientific name	lotus
Cassia nodosa	NCBITaxon:648864	synonym	lotus
Cassia sieberiana	NCBITaxon:1977551	scientific name	chebi_origins
Cassinia quinquefaria	NCBITaxon:3242708	scientific name	lotus
Cassipourea madagascariensis	NCBITaxon:3769122	scientific name	lotus
Castanopsis purpurella	NCBITaxon:3109068	scientific name	lotus
Castilleja rhexifolia	NCBITaxon:624188	synonym	lotus
Castilleja wightii	NCBITaxon:3769339	scientific name	lotus
Catharanthus pusillus	NCBITaxon:3769544	scientific name	chebi_origins,lotus
Catoferia spicata	NCBITaxon:3769551	scientific name	lotus
Caucasalia macrophylla	NCBITaxon:3769628	scientific name	lotus
Caucasalia pontica	NCBITaxon:3039461	scientific name	lotus
Caulerpa annulata	NCBITaxon:1402142	synonym	lotus
Caulerpa bikinensis	NCBITaxon:3102909	scientific name	lotus
Caustis recurvata	NCBITaxon:3049580	scientific name	lotus
Cavia porcellus	NCBITaxon:10141	scientific name	bindingdb
Cayaponia tayuya	NCBITaxon:3085944	scientific name	lotus
Cayratia japonica	NCBITaxon:149353	synonym	lotus
Cecropia pachystachya	NCBITaxon:1472306	scientific name	chebi_origins
Celastrus gemmata	NCBITaxon:1172576	synonym	lotus
Celastrus stephanotiifolius	NCBITaxon:2755329	scientific name	chebi_origins
Celastrus vulcanicolus	NCBITaxon:489983	synonym	lotus
Celerina heffernani	NCBITaxon:556814	synonym	lotus
Celmisia petriei	NCBITaxon:3733588	scientific name	lotus
Centaurea achaia	NCBITaxon:2990542	scientific name	lotus
Centaurea ainetensis	NCBITaxon:3769864	scientific name	lotus
Centaurea amanicola	NCBITaxon:3769869	scientific name	lotus
Centaurea australis	NCBITaxon:1486582	synonym	lotus
Centaurea axillaris	NCBITaxon:1079205	scientific name	lotus
Centaurea ferox	NCBITaxon:3769933	scientific name	lotus
Centaurea fragilis	NCBITaxon:3769936	scientific name	lotus
Centaurea furfuracea	NCBITaxon:3769938	scientific name	lotus
Centaurea gabrieljanae	NCBITaxon:3769940	scientific name	lotus
Centaurea hololeuca	NCBITaxon:3769973	scientific name	lotus
Centaurea hyalolepis	NCBITaxon:3769976	scientific name	lotus
Centaurea hyrcanica	NCBITaxon:3769978	scientific name	lotus
Centaurea malacitana	NCBITaxon:3770030	scientific name	lotus
Centaurea maroccana	NCBITaxon:3735786	scientific name	lotus
Centaurea nicolai	NCBITaxon:3770051	scientific name	lotus
Centaurea oltensis	NCBITaxon:3770060	scientific name	lotus
Centaurea orphanidea	NCBITaxon:3770063	scientific name	lotus
Centaurea pabotii	NCBITaxon:3770068	scientific name	lotus
Centaurea ruthenica	NCBITaxon:305388	synonym	lotus
Centaurea senegalensis	NCBITaxon:3770113	scientific name	lotus
Centaurea sinaica	NCBITaxon:3770125	scientific name	lotus
Centaurea urvillei	NCBITaxon:3770148	scientific name	lotus
Centrosema haitiense	NCBITaxon:3086261	scientific name	lotus
Cephalanthus tetrandra	NCBITaxon:1442741	equivalent name	lotus
Cephalaria ambrosioides	NCBITaxon:3770252	scientific name	lotus
Cephalaria kotschyi	NCBITaxon:3770290	scientific name	lotus
Cephalaria nachiczevanica	NCBITaxon:3770298	scientific name	lotus
Cephalaria pastricensis	NCBITaxon:3770300	scientific name	lotus
Cephalaria scoparia	NCBITaxon:3770308	scientific name	lotus
Cephalaria uralensis	NCBITaxon:1907874	scientific name	lotus
Cephalodiscus gilchristi	NCBITaxon:1443225	scientific name	lotus
Cephalosporium acremonium	NCBITaxon:5044	synonym	lotus
Cephalosporium aphidicola	NCBITaxon:2231603	synonym	lotus
Cephalotaxus harringtonia var. harringtonia	NCBITaxon:2900543	scientific name	lotus
Cephalotaxus harringtonia var. nana	NCBITaxon:2795278	scientific name	lotus
Cephalotaxus harringtonia var. wilsoniana	NCBITaxon:50179	scientific name	lotus
Ceramium flaccidum	NCBITaxon:342851	synonym	lotus
Cerastium orithales	NCBITaxon:3721865	scientific name	lotus
Ceratiomyxa	NCBITaxon:435414	scientific name	lotus
Ceratium hexacanthum	NCBITaxon:644173	synonym	lotus
Ceratocystis coerulescens	NCBITaxon:1580845	synonym	lotus
Ceratocystis minor	NCBITaxon:150568	synonym	lotus
Ceratosanthes hilariana	NCBITaxon:3086265	scientific name	lotus
Cerbera inflata	NCBITaxon:3771169	scientific name	lotus
Cercophora areolata	NCBITaxon:288678	synonym	lotus
Cercospora arachidicola	NCBITaxon:143450	synonym	lotus
Ceriporia lacerata	NCBITaxon:194684	synonym	lotus
Ceriporiopsis subvermispora	NCBITaxon:42742	synonym	lotus
Ceriscoides turgida	NCBITaxon:3771196	scientific name	lotus
Cetraria alaskana	NCBITaxon:2026232	synonym	lotus
Cetraria ambigua	NCBITaxon:170995	synonym	lotus
Cetraria andrejevii	NCBITaxon:326049	synonym	lotus
Cetraria komarovii	NCBITaxon:180483	synonym	lotus
Cetraria ornata	NCBITaxon:180485	synonym	lotus
Chaenomeles lagenaria	NCBITaxon:106546	synonym	lotus
Chaetomium carinthiacum	NCBITaxon:1036264	synonym	lotus
Chaetomium retardatum	NCBITaxon:2082612	synonym	chebi_origins
Chamaecrista greggii	NCBITaxon:3085875	scientific name	lotus
Chamaecytisus austriacus	NCBITaxon:49804	synonym	lotus
Chamaecytisus eriocarpus	NCBITaxon:3771606	scientific name	lotus
Chamaecytisus hirsutus	NCBITaxon:1211454	scientific name	lotus
Chamaecytisus jankae	NCBITaxon:3771609	scientific name	lotus
Chamaecytisus proliferus	NCBITaxon:49805	scientific name	lotus
Chamaecytisus pygmaeus	NCBITaxon:3771624	scientific name	lotus
Chamaecytisus ratisbonensis	NCBITaxon:1530449	synonym	lotus
Chamaecytisus ruthenicus	NCBITaxon:2040551	scientific name	lotus
Chamaeleon gummifer	NCBITaxon:143183	scientific name	lotus
Chamaelirium japonicum	NCBITaxon:119999	scientific name	lotus
Chamaemelum mixtum	NCBITaxon:179396	synonym	lotus
Chara intermedia	NCBITaxon:2967356	synonym	lotus
Chaunopycnis	NCBITaxon:29909	synonym	lotus
Cheilocostus speciosus	NCBITaxon:49577	synonym	lotus
Cheimonophyllum candidissimum	NCBITaxon:181981	equivalent name	lotus
Cheniella tenuiflora	NCBITaxon:3078824	scientific name	lotus
Chenopodium ambrosioides	NCBITaxon:330163	synonym	lotus
Chenopodium bonus-henricus	NCBITaxon:122298	synonym	lotus
Chenopodium chilense	NCBITaxon:2570620	synonym	lotus
Chenopodium foliosum	NCBITaxon:240048	synonym	lotus
Chenopodium hybridum	NCBITaxon:434243	synonym	lotus
Chenopodium multifidum	NCBITaxon:1072223	synonym	lotus
Chenopodium murale	NCBITaxon:46091	synonym	lotus
Chenopodium rubrum	NCBITaxon:3560	synonym	lotus
Chenopodium simplex	NCBITaxon:932096	synonym	lotus
Chironia krebsii	NCBITaxon:3773552	scientific name	chebi_origins,lotus
Chitinophaga japonensis	NCBITaxon:104662	scientific name	chebi_origins
Chloranthus anhuiensis	NCBITaxon:3773629	scientific name	lotus
Chloranthus tianmushanensis	NCBITaxon:3773631	scientific name	lotus
Chlorella emersonii	NCBITaxon:95581	synonym	lotus
Chlorella pyrenoidosa	NCBITaxon:3078	synonym	lotus
Chlorobium luteolum	NCBITaxon:1100	synonym	lotus
Chlorobium tepidum	NCBITaxon:1097	synonym	lotus
Chlorogloeopsis sp.	NCBITaxon:28069	scientific name	cyanometdb
Chlorophytum inornatum	NCBITaxon:3773901	scientific name	lotus
Chondria acrorhizophora	NCBITaxon:1930586	scientific name	lotus
Chondria armata	NCBITaxon:860625	scientific name	cyanometdb
Chondrodendron platiphyllum	NCBITaxon:3774097	scientific name	lotus
Chondromyces crocatus	NCBITaxon:52	scientific name	cyanometdb
Chondrus canaliculatus	NCBITaxon:38340	synonym	lotus
Chromelosporium fulvum	NCBITaxon:44115	synonym	lotus
Chromodoris dalli	NCBITaxon:3244121	synonym	lotus
Chromolaena arnottiana	NCBITaxon:3774199	scientific name	lotus
Chromolaena bigelovii	NCBITaxon:3774210	scientific name	lotus
Chromolaena chaseae	NCBITaxon:3774217	scientific name	lotus
Chromolaena connivens	NCBITaxon:3774221	scientific name	lotus
Chromolaena farinosa	NCBITaxon:3774232	scientific name	lotus
Chromolaena glaberrima	NCBITaxon:3774235	scientific name	lotus
Chromolaena hirsuta	NCBITaxon:3055032	scientific name	lotus
Chromolaena meridensis	NCBITaxon:3774264	scientific name	lotus
Chromolaena moritziana	NCBITaxon:3774269	scientific name	lotus
Chromolaena opadoclinia	NCBITaxon:3774274	scientific name	lotus
Chromolaena pulchella	NCBITaxon:3774294	scientific name	lotus
Chromolaena tunariensis	NCBITaxon:3774318	scientific name	lotus
Chromolaena tyleri	NCBITaxon:3774319	scientific name	lotus
Chrozophora plicata	NCBITaxon:1932729	scientific name	lotus
Chrozophora rottleri	NCBITaxon:3774407	scientific name	lotus
Chrysanthemum coccineum	NCBITaxon:301880	synonym	lotus
Chrysanthemum coreanum	NCBITaxon:159693	synonym	lotus
Chrysanthemum maximum	NCBITaxon:13423	synonym	lotus
Chrysanthemum monspeliense	NCBITaxon:1155851	synonym	lotus
Chrysanthemum naktongense	NCBITaxon:146998	synonym	lotus
Chrysanthemum segetum	NCBITaxon:118509	synonym	lotus
Chrysitrix distigmatosa	NCBITaxon:2848428	scientific name	lotus
Chrysochlamys ulei	NCBITaxon:3774482	scientific name	lotus
Chrysocoma cernua	NCBITaxon:3136713	scientific name	lotus
Chrysocoma microphylla	NCBITaxon:3774491	scientific name	lotus
Chrysolaena cognata	NCBITaxon:3775278	scientific name	lotus
Chrysolaena verbascifolia	NCBITaxon:3775287	scientific name	lotus
Chrysophyllum africanum	NCBITaxon:2851913	synonym	lotus
Chrysophyllum perpulchrum	NCBITaxon:233676	synonym	lotus
Chrysotila lamellosa	NCBITaxon:424539	synonym	lotus
Cicer baldshuanicum	NCBITaxon:3775507	scientific name	lotus
Cicer mogoltavicum	NCBITaxon:3775515	scientific name	lotus
Cienfuegosia drummondii	NCBITaxon:3775530	scientific name	lotus
Ciliosemina purdieana	NCBITaxon:3775585	scientific name	lotus
Cimicifuga simplex	NCBITaxon:64042	synonym	lotus
Cineraria anampoza	NCBITaxon:3775606	scientific name	lotus
Cineraria atriplicifolia	NCBITaxon:317287	scientific name	lotus
Cineraria britteniae	NCBITaxon:3775607	scientific name	lotus
Cineraria dieterlenii	NCBITaxon:3775610	scientific name	lotus
Cineraria grandibracteata	NCBITaxon:3775613	scientific name	lotus
Cinnamomum cassia	NCBITaxon:230708	synonym	lotus
Cinnamomum impressinervium	NCBITaxon:3727263	scientific name	lotus
Cinnamomum japonicum	NCBITaxon:119264	synonym	lotus
Cinnamomum pachyphyllum	NCBITaxon:3727295	scientific name	lotus
Cinnamomum pedunculatum	NCBITaxon:2047775	synonym	lotus
Cinnamomum zeylanicum	NCBITaxon:128608	synonym	lotus
Cirrhopetalum andersonii	NCBITaxon:1185423	synonym	lotus
Cirsium arvense var. integrifolium	NCBITaxon:3391699	scientific name	lotus
Cirsium chinense	NCBITaxon:3775707	scientific name	lotus
Cirsium dipsacolepis	NCBITaxon:3366973	scientific name	lotus
Cirsium maritimum	NCBITaxon:2968782	scientific name	lotus
Cirsium oligophyllum	NCBITaxon:3367090	scientific name	lotus
Cirsium wallichii	NCBITaxon:3367118	scientific name	lotus
Cissampelos glaberrima	NCBITaxon:3775876	scientific name	lotus
Cissampelos sympodialis	NCBITaxon:3775883	scientific name	lotus
Cissus antarctica	NCBITaxon:149359	synonym	lotus
Cissus rheifolia	NCBITaxon:3776003	scientific name	lotus
Cissus sicyoides	NCBITaxon:289665	synonym	lotus
Cistanche mongolica	NCBITaxon:3776040	scientific name	lotus
Citropsis articulata	NCBITaxon:1762906	scientific name	chebi_origins
Citrus garrawayae	NCBITaxon:231467	synonym	lotus
Citrus grandis	NCBITaxon:37334	synonym	lotus
Citrus reticulata	NCBITaxon:85571	scientific name	chebi_origins
Cladobotryum verticillatum	NCBITaxon:101002	synonym	lotus
Cladonia cervicornis subsp. verticillata	NCBITaxon:174052	synonym	lotus
Cladonia mascarena	NCBITaxon:2718546	synonym	lotus
Cladonia pacifica	NCBITaxon:3125960	synonym	lotus
Cladonia sandstedei	NCBITaxon:3259514	scientific name	lotus
Cladonia transcendens	NCBITaxon:3679983	scientific name	lotus
Cladophora pellucida	NCBITaxon:34130	synonym	lotus
Cladophoropsis fasciculata	NCBITaxon:162054	scientific name	lotus
Claoxylon parviflorum	NCBITaxon:3128556	scientific name	lotus
Clarkia exilis	NCBITaxon:3069546	scientific name	lotus
Clarkia speciosa	NCBITaxon:3069547	scientific name	lotus
Clathria vulpina	NCBITaxon:1088850	scientific name	lotus
Clathrotropis glaucophylla	NCBITaxon:3388855	synonym	lotus
Clausena dentata	NCBITaxon:159034	synonym	lotus
Clausena engleri	NCBITaxon:3776255	scientific name	chebi_origins
Clausena indica	NCBITaxon:3776257	scientific name	lotus
Clavija procera	NCBITaxon:3776287	scientific name	lotus
Clavularia flava	NCBITaxon:2486329	synonym	lotus
Cleistanthus gracilis	NCBITaxon:3777672	scientific name	lotus
Cleistanthus indochinensis	NCBITaxon:3777676	scientific name	lotus
Cleistanthus monoicus	NCBITaxon:3777699	scientific name	lotus
Cleistanthus patulus	NCBITaxon:3777712	scientific name	chebi_origins,lotus
Cleistocalyx operculatus	NCBITaxon:219895	synonym	chebi_origins
Clematicissus simsiana	NCBITaxon:3127371	scientific name	lotus
Clematis terniflora var. mandshurica	NCBITaxon:748703	synonym	lotus
Cleome chrysantha	NCBITaxon:1522775	synonym	lotus
Cleome dodecandra	NCBITaxon:72660	synonym	lotus
Cleome dolichostyla	NCBITaxon:860714	synonym	lotus
Cleome droserifolia	NCBITaxon:511510	synonym	lotus
Cleome hirta	NCBITaxon:860697	synonym	lotus
Cleome monophylla	NCBITaxon:202654	synonym	lotus
Cleome quinquenervia	NCBITaxon:860714	synonym	lotus
Cleome rosea	NCBITaxon:310234	synonym	lotus
Cleome spinosa	NCBITaxon:228870	synonym	lotus
Clerodendrum brachyanthum	NCBITaxon:3778070	scientific name	lotus
Clerodendrum formicarum	NCBITaxon:3778100	scientific name	lotus
Clerodendrum grayi	NCBITaxon:3778107	scientific name	lotus
Clerodendrum kaichianum	NCBITaxon:3051270	scientific name	lotus
Clerodendrum nutans	NCBITaxon:2926890	scientific name	lotus
Clethra macrophylla	NCBITaxon:3778205	scientific name	lotus
Clibadium eggersii	NCBITaxon:3778252	scientific name	lotus
Clibadium glabrescens	NCBITaxon:3122694	scientific name	lotus
Clibadium glomeratum	NCBITaxon:3778254	scientific name	lotus
Clibadium laxum	NCBITaxon:3778256	scientific name	lotus
Clibadium microcephalum	NCBITaxon:3778260	scientific name	lotus
Clibadium pentaneuron	NCBITaxon:3778262	scientific name	lotus
Clibadium sprucei	NCBITaxon:3778268	scientific name	lotus
Clibadium terebinthinaceum	NCBITaxon:3778270	scientific name	lotus
Clidemia rubra	NCBITaxon:119881	synonym	lotus
Clinopodium albanicum	NCBITaxon:3778348	scientific name	lotus
Clinopodium album	NCBITaxon:3778349	scientific name	lotus
Clinopodium brevifolium	NCBITaxon:3389765	scientific name	lotus
Clinopodium congestum	NCBITaxon:2998185	scientific name	lotus
Clinopodium laxiflorum	NCBITaxon:2809248	scientific name	lotus
Clinopodium odorum	NCBITaxon:3778422	scientific name	lotus
Clitocybe candicans	NCBITaxon:230765	synonym	lotus
Clitocybe candida	NCBITaxon:1574062	synonym	lotus
Clitocybe catinus	NCBITaxon:880273	synonym	lotus
Clitocybe clavipes	NCBITaxon:56467	synonym	lotus
Clitocybe eucalyptorum	NCBITaxon:1574060	synonym	lotus
Clitocybe hydrogramma	NCBITaxon:230769	synonym	lotus
Clonostachys	NCBITaxon:110564	scientific name	lotus
Clostridium cellulolyticum	NCBITaxon:1521	synonym	lotus
Clusia ellipticifolia	NCBITaxon:3778577	scientific name	lotus
Clusia havetioides	NCBITaxon:3778600	scientific name	lotus
Clusia plukenetii	NCBITaxon:3778668	scientific name	lotus
Clusia portlandiana	NCBITaxon:3778674	scientific name	lotus
Clusia sandiensis	NCBITaxon:3778691	scientific name	lotus
Cnicus benedictus	NCBITaxon:50282	synonym	lotus
Cnidium dahuricum	NCBITaxon:239637	synonym	lotus
Cochliobolus	NCBITaxon:33194	synonym	lotus
Cochliobolus bicolor	NCBITaxon:102001	synonym	lotus
Cochliobolus eleusines	NCBITaxon:91366	synonym	lotus
Cochliobolus geniculatus	NCBITaxon:418126	synonym	lotus
Cochliobolus luttrellii	NCBITaxon:90979	synonym	lotus
Cochliobolus setariae	NCBITaxon:74419	synonym	lotus
Cochlospermum angolense	NCBITaxon:2086532	scientific name	chebi_origins
Coespeletia timotensis	NCBITaxon:183013	synonym	lotus
Coffea bengalensis	NCBITaxon:213306	synonym	lotus
Colchicum burkei	NCBITaxon:3780789	scientific name	lotus
Colchicum hierosolymitanum	NCBITaxon:3780797	scientific name	lotus
Colchicum hungaricum	NCBITaxon:225784	synonym	lotus
Colchicum striatum	NCBITaxon:225775	scientific name	lotus
Coleus barbatus	NCBITaxon:41228	synonym	lotus
Coleus comosus	NCBITaxon:3682660	scientific name	lotus
Coleus forskohlii	NCBITaxon:41228	synonym	chebi_origins
Coleus grandidentatus	NCBITaxon:3780953	scientific name	lotus
Coleus hereroensis	NCBITaxon:3780961	scientific name	lotus
Coleus parvifolius	NCBITaxon:3781022	scientific name	lotus
Collinsonia japonica	NCBITaxon:1874237	synonym	lotus
Colubrina greggii	NCBITaxon:3781100	scientific name	lotus
Colubrina retusa	NCBITaxon:3085962	scientific name	lotus
Colubrina texensis	NCBITaxon:3085963	scientific name	lotus
Comanthosphace stellipila	NCBITaxon:694321	synonym	lotus
Combretum aculeatum	NCBITaxon:3781244	scientific name	lotus
Combretum fragrans	NCBITaxon:578538	scientific name	chebi_origins
Combretum griffithii	NCBITaxon:3781354	scientific name	chebi_origins
Combretum inflatum	NCBITaxon:3781363	scientific name	lotus
Combretum malabaricum	NCBITaxon:3781381	scientific name	lotus
Combretum quadrangulare	NCBITaxon:2998934	scientific name	chebi_origins,lotus
Commelina chamissonis	NCBITaxon:3781496	scientific name	lotus
Commiphora confusa	NCBITaxon:3781641	scientific name	lotus
Commiphora dalzielii	NCBITaxon:3781643	scientific name	lotus
Commiphora erlangeriana	NCBITaxon:3781648	scientific name	lotus
Commiphora mukul	NCBITaxon:2067815	scientific name	chebi_origins
Commiphora socotrana	NCBITaxon:3781688	scientific name	lotus
Compositae	NCBITaxon:4210	equivalent name	lotus
Conchocarpus guyanensis	NCBITaxon:3781833	scientific name	lotus
Conchocarpus inopinatus	NCBITaxon:3781834	scientific name	lotus
Conchocarpus macrocarpus	NCBITaxon:3781840	scientific name	lotus
Conchocarpus marginatus	NCBITaxon:3781841	scientific name	lotus
Conchocarpus paniculatus	NCBITaxon:3781846	scientific name	lotus
Condalia buxifolia	NCBITaxon:3781856	scientific name	lotus
Condea undulata	NCBITaxon:3781883	scientific name	lotus
Conidiobolus paulus	NCBITaxon:1342296	synonym	lotus
Conioselinum anthriscoides	NCBITaxon:3420723	scientific name	lotus
Conioselinum smithii	NCBITaxon:3420727	scientific name	lotus
Conioselinum tenuissimum	NCBITaxon:110318	scientific name	lotus
Coniothyrium cerealis	NCBITaxon:2718965	synonym	lotus
Coniothyrium olivaceum	NCBITaxon:255777	synonym	lotus
Conocephalum supradecompositum	NCBITaxon:134427	synonym	lotus
Conospermum brachyphyllum	NCBITaxon:3781990	scientific name	lotus
Conospermum incurvum	NCBITaxon:3782012	scientific name	lotus
Conospermum sphacelatum	NCBITaxon:3782024	scientific name	lotus
Conospermum stoechadis	NCBITaxon:3782025	scientific name	lotus
Convolvulus krauseanus	NCBITaxon:3782074	scientific name	lotus
Conyza canadensis	NCBITaxon:72917	synonym	lotus
Conyza linifolia	NCBITaxon:91242	synonym	lotus
Conyza schimperi	NCBITaxon:2984649	synonym	lotus
Conyza steudelii	NCBITaxon:2984650	synonym	lotus
Copaifera pubiflora	NCBITaxon:1928081	scientific name	lotus
Copaifera venezuelana	NCBITaxon:3782118	scientific name	lotus
Coprinus cinereus	NCBITaxon:5346	synonym	lotus
Coprinus micaceus	NCBITaxon:71717	synonym	lotus
Coprinus plicatilis	NCBITaxon:76939	synonym	lotus
Coprinus quadrifidus	NCBITaxon:104335	synonym	lotus
Cordia anisophylla	NCBITaxon:3782213	scientific name	lotus
Cordia fragrantissima	NCBITaxon:3782243	scientific name	lotus
Cordia globifera	NCBITaxon:3782248	scientific name	lotus
Cordiera macrophylla	NCBITaxon:136659	scientific name	lotus
Cordyceps nipponica	NCBITaxon:577453	synonym	lotus
Cordyceps ophioglossoides	NCBITaxon:71617	synonym	lotus
Cordyla madagascariensis	NCBITaxon:149643	synonym	lotus
Cordyla pinnata	NCBITaxon:3085967	scientific name	lotus
Cordylanthus parviflorus	NCBITaxon:3782419	scientific name	lotus
Coreocarpus arizonicus	NCBITaxon:172209	synonym	lotus
Coreopsis bigelovii	NCBITaxon:159656	synonym	lotus
Coreopsis californica	NCBITaxon:159657	synonym	lotus
Coreopsis calliopsidea	NCBITaxon:159658	synonym	lotus
Coreopsis douglasii	NCBITaxon:159662	synonym	lotus
Coreopsis falcata	NCBITaxon:3782435	scientific name	lotus
Coreopsis gigantea	NCBITaxon:159663	synonym	lotus
Coreopsis hamiltonii	NCBITaxon:159665	synonym	lotus
Coreopsis longula	NCBITaxon:3782440	scientific name	lotus
Coreopsis maritima	NCBITaxon:159671	synonym	lotus
Coreopsis stillmanii	NCBITaxon:159684	synonym	lotus
Coronilla cretica	NCBITaxon:3782514	scientific name	lotus
Coronilla elegans	NCBITaxon:181251	synonym	lotus
Coronilla glauca	NCBITaxon:118894	synonym	lotus
Coronilla varia	NCBITaxon:53861	synonym	lotus
Cortinarius claricolor	NCBITaxon:304709	synonym	lotus
Cortinarius croceocoeruleus	NCBITaxon:183880	synonym	lotus
Cortinarius fulvoincarnatus	NCBITaxon:392349	synonym	lotus
Cortinarius rufo-olivaceus	NCBITaxon:222049	synonym	lotus
Cortinarius sodagnitus	NCBITaxon:201461	synonym	lotus
Cortinarius umidicola	NCBITaxon:323716	synonym	lotus
Cortinarius vibratilis	NCBITaxon:47332	synonym	lotus
Corydalis bulbosa	NCBITaxon:38914	synonym	lotus
Corydalis calliantha	NCBITaxon:3782725	scientific name	lotus
Corydalis campulicarpa	NCBITaxon:3782727	scientific name	lotus
Corydalis caucasica	NCBITaxon:3396328	scientific name	lotus
Corydalis cava	NCBITaxon:581246	scientific name	chebi_origins
Corydalis chaerophylla	NCBITaxon:3396329	scientific name	lotus
Corydalis clarkei	NCBITaxon:3782737	scientific name	lotus
Corydalis crystallina	NCBITaxon:3782743	scientific name	lotus
Corydalis curvisiliqua	NCBITaxon:3782744	scientific name	lotus
Corydalis flabellata	NCBITaxon:3396346	scientific name	lotus
Corydalis gigantea	NCBITaxon:2992610	scientific name	lotus
Corydalis glaucescens	NCBITaxon:2764625	scientific name	lotus
Corydalis gortschakovii	NCBITaxon:2764626	scientific name	lotus
Corydalis govaniana	NCBITaxon:3044013	scientific name	lotus
Corydalis longicalcarata	NCBITaxon:2993895	scientific name	lotus
Corydalis meifolia	NCBITaxon:3782811	scientific name	lotus
Corydalis orthopoda	NCBITaxon:3396401	scientific name	lotus
Corydalis paniculigera	NCBITaxon:3396409	scientific name	lotus
Corydalis persica	NCBITaxon:3782837	scientific name	lotus
Corydalis pseudoadunca	NCBITaxon:3140264	scientific name	lotus
Corydalis scouleri	NCBITaxon:1549780	scientific name	chebi_origins
Corydalis sewerzowii	NCBITaxon:3396423	synonym	lotus
Corydalis sibirica	NCBITaxon:3396425	scientific name	lotus
Corydalis thyrsiflora	NCBITaxon:3044016	scientific name	lotus
Corydalis vaginans	NCBITaxon:3044017	scientific name	lotus
Corydalis verticillaris	NCBITaxon:3782907	scientific name	lotus
Cosmos pringlei	NCBITaxon:3782979	scientific name	lotus
Cota coelopoda	NCBITaxon:589816	synonym	lotus
Cota nigellifolia	NCBITaxon:2267881	synonym	lotus
Cota samuelssonii	NCBITaxon:589834	synonym	lotus
Cota triumfetti	NCBITaxon:158232	scientific name	lotus
Cotoneaster glabratus	NCBITaxon:3050849	scientific name	lotus
Cotoneaster integrifolius	NCBITaxon:3059406	scientific name	lotus
Cotoneaster lacteus	NCBITaxon:36608	synonym	lotus
Coulteria cubensis	NCBITaxon:3085969	scientific name	lotus
Cowania mexicana	NCBITaxon:1795987	synonym	lotus
Craibia grandiflora	NCBITaxon:3085971	scientific name	lotus
Craibiodendron henryi	NCBITaxon:3783884	scientific name	lotus
Crassothonna cylindrica	NCBITaxon:3784076	scientific name	lotus
Crassothonna floribunda	NCBITaxon:3784078	scientific name	lotus
