chebi_id	species_text	species_accession	component_text	strain_text	source_accession	comments
CHEBI:1945	Nicotiana tabacum	4097			10.1016/j.plantsci.2011.02.009	
CHEBI:1949	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:1949	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:1949	Saccharomyces cerevisiae	4932			1449509	
CHEBI:1949	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:1989	Escherichia coli	562			21988831	
CHEBI:1989	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2003	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2030	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2065	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:2076	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:2089	Brassica napus	3708	leaf lamina		MTBLS309	From MetaboLights
CHEBI:2089	Homo sapiens	9606	urine		Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by Cornelius Lentner.	
CHEBI:2089	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2106	Arabidopsis thaliana	3702			23950498	
CHEBI:2106	Urceola huaitingii	1398147			19579182	
CHEBI:2120	Ginkgo biloba	3311	fruit		21462031	
CHEBI:2120	Streptomyces cyaneus	1904			21462031	
CHEBI:2150	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2181	Escherichia coli	562			21988831	
CHEBI:2181	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2198	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2229	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2274	Homo sapiens	9606			21886157	
CHEBI:2288	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:2288	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2290	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:2290	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2295	Daphnia magna	35525			Alteration of [14C]-Testosterone Metabolism After Chronic Exposure of Daphnia magna to TributyltinE. Oberdörster, D. Rittschof, G. A. LeBlancArch. Environ. Contam. Toxicol. 34, 21-25 (1998)	
CHEBI:2295	Mus musculus	10090			1175644	
CHEBI:2323	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2364	Abrus precatorius	3816			2691636	
CHEBI:2366	Artemisia absinthium	72332			25037681	
CHEBI:2367	Erythrina abyssinica	1237573			21116437	
CHEBI:2372	Acalypha indica	478095			19157466	
CHEBI:2393	Escherichia coli	562			21988831	
CHEBI:2393	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2415	Amaryllis belladonna	51432			6512532	
CHEBI:2415	Ammocharis coranica	180132			10846753	
CHEBI:2424	Pseudomonas putida	303			1254564	
CHEBI:2425	Anthemis scrobicularis	589792	aerial part		25227949	
CHEBI:2425	Artemisia feddei	637478			25227949	
CHEBI:2431	Paecilomyces sp.	40383		CAFT156	22692953	Isolated from cultures
CHEBI:2435	Acronychia	43714			Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27	
CHEBI:2435	Melicope	77014			Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27	
CHEBI:2435	Sarcomelicope	76971			Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27	
CHEBI:2436	Acronychia	43714			Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27	
CHEBI:2436	Melicope	77014			Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27	
CHEBI:2436	Sarcomelicope argyrophylla	1226109			Brum-Bousquet,Planta Med.,(1985),536	
CHEBI:2438	Acronychia	43714			5640105	
CHEBI:2439	Acroptilon	41465	leaf		Chemistry of Natural Compounds, 1973, Volume 9, pp 156-161	
CHEBI:2439	Centaurea	41503			Chemistry of Natural Compounds, 1973, Volume 9, pp 156-161	
CHEBI:2440	Acronychia pedunculata	354485	bark		22708987	
CHEBI:2443	Actinidia polygama	64480			6061704	
CHEBI:2443	Valeriana officinalis	19953	root		547813	
CHEBI:2444	Cinnamomum insularimontanum	119264	root		16168547	
CHEBI:2448	Streptomyces coelicolor A3(2)	100226			17579485	
CHEBI:2450	Aspergillus aculeatus	5053			324959	
CHEBI:2479	Escherichia coli	562			21988831	
CHEBI:2480	Escherichia coli	562			21988831	
CHEBI:2480	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2481	Escherichia coli	562			21988831	
CHEBI:2482	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2485	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2495	Abudefduf sexfasciatus	80948			25917864	
CHEBI:2495	Homo sapiens	9606			14308712	
CHEBI:2495	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2495	Sphyrna tiburo	7824			10469997	
CHEBI:2501	Aethusa cynapium	40954			Wink, M (2009) Mode of action and toxicology of plant toxins and poisonous plants. Wirbeltierforschung in der Kulturlandschaf, 421, 93-112.	
CHEBI:2504	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:2507	Bergenia ligulata	1523242			18622126	
CHEBI:2515	Odontites luteus	691781			27997755	
CHEBI:2515	Scrophularia deserti	1042505			16797620	
CHEBI:2515	Vitex agnus-castus	54477			13651032	
CHEBI:2515	Vitex agnus-castus	54477	fruit		24695348	
CHEBI:2515	Vitex negundo	361442	leaf		22228102	
CHEBI:2515	Vitex peduncularis	1489957	bark		11842334	Isolated from stem bark.
CHEBI:2523	Consolida orientalis	565971	aerial part		8864243	
CHEBI:2524	Catharanthus lanceus	1750993			4387608	
CHEBI:2524	Catharanthus roseus	4058	aerial part		15930738	
CHEBI:2524	Catharanthus roseus	4058	root		22332772	
CHEBI:2524	Rauvolfia serpentina	4060	root		Klohs, M.W., Draper, M.D., Keller, F., Malesh, W. and Petracek, F.J. (1954) Alkaloids of Rauwolfia serpentina benth. II. The isolation of naturally occurring py-tetrahydroserpentine (ajmalicine) and a contribution toward its structure. J. Am. Chem. Soc., 76(5), 1332-1334.	
CHEBI:2524	Rauvolfia verticillata	329875	bark		Kan, N.G. and Nikolaeva, L.A. (1991) Alkaloids of Rauwolfia species growing in Vietnam. Chem. Nat. Compd., 27(6), 718-720.	Isolated from root bark
CHEBI:2524	Rauwolfia oreogiton	4059	bark		4153471	Isolated from root bark
CHEBI:2524	Vinca major	185238			Cheng, G.G., Zhao, Y.L., Zhang, Y., Lunga, P.K., Hu, D.B., Li, Y., Gu, J., Song, C.W., Sun, W.B., Liu, Y.P. and Luo, X.D. (2014) Indole alkaloids from cultivated Vinca major. Tetrahedron, 70(45), 8723-8729.	
CHEBI:2536	Alangium	16896			12150812	
CHEBI:2537	Alangium salviifolium	616984			Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21	
CHEBI:2538	Alangium grisolleoides	616979			16124751	
CHEBI:2538	Alangium javanicum	1504380			16124751	
CHEBI:2538	Alangium salviifolium	616984			1171883	
CHEBI:2540	Inula helenium	55635			24996657	
CHEBI:2540	Saussurea lappa	324593			25068579	
CHEBI:2542	Jurinea alata	1628029			Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter51	GRIN Nomen number: 20881 see:http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?20881#syn
CHEBI:2543	Centella asiatica	48106			MTBLS175	
CHEBI:2596	Allium sativum	4682	leaf		17262437	
CHEBI:2617	Cynoglossum amabile	354628			22432912	
CHEBI:2622	Swertia japonica	137129			10.1055/s-2008-1074888	
CHEBI:2622	Swertia mileensis	266086			8720386	
CHEBI:2623	Amaryllis belladonna	51432			10.1021/ja01076a047	
CHEBI:2625	Voacanga africana	141630	root		25052206	
CHEBI:2631	Cupressus cashmeriana	187464			10.1021/np50051a032	
CHEBI:2631	Cupressus sempervirens	13469			10.1021/np50051a032	
CHEBI:2631	Cycas rumphii	58031			15130600	
CHEBI:2631	Ginkgo biloba	3311			3212094	
CHEBI:2631	Hypericum perforatum	65561			16084098	
CHEBI:2631	Juniperus occidentalis	114265			12372862	
CHEBI:2631	Lanaria lanata	59087			10.1021/np50075a007	
CHEBI:2631	Selaginella braunii	17074			11256492	
CHEBI:2631	Selaginella davidii	417315			11256492	
CHEBI:2631	Selaginella doederleinii	186426			11256492	
CHEBI:2631	Selaginella pulvinata	672198			11256492	
CHEBI:2631	Selaginella sinensis	137174			11256492	
CHEBI:2631	Selaginella stauntoniana	137175			11256492	
CHEBI:2631	Selaginella tamariscina	137178			11256492	
CHEBI:2631	Selaginella uncinata	307165			11256492	
CHEBI:2631	Selanginella moellendorfii	88036			11256492	
CHEBI:2631	Taxodium mucronatum	99812			16084098	
CHEBI:2631	Taxus baccata	25629			INDIAN J CHEM,35B,283	
CHEBI:2631	Thuja orientalis	58046			19280159	
CHEBI:2696	Amphipterygium adstringens	124857			26371858	
CHEBI:2696	Anacardium occidentale	171929			32995295	
CHEBI:2696	Semecarpus anacardium	289767			34588850	
CHEBI:2700	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:2700	Homo sapiens	9606	blood		16118355	
CHEBI:2700	Homo sapiens	9606	cerebrospinal fluid		19817812	
CHEBI:2710	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:2710	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:2718	Homo sapiens	9606	blood plasma		8142230	
CHEBI:2719	Homo sapiens	9606			16672146	
CHEBI:2766	Aspergillus oryzae	5062			29191129	
CHEBI:2766	Cephalosporium aphidicola	291364			21812410	
CHEBI:2766	Tolypocladium inflatum	29910			21812410	Ethylacetate extract and fungus isolated from a soil sample on fruiting body of Cordyceps sinensis
CHEBI:2781	Cordyceps sinensis	72228	mycelium		21848266	Ethanolic extract of dried mycelia
CHEBI:2781	Paeonia rockii subsp. rockii	459179	root		21954959	Isolated from chloroform soluble extract of air-dried and powdered roots
CHEBI:2807	Escherichia coli	562			21988831	
CHEBI:2825	Aristolochia	12947			PMID:21141875	
CHEBI:2825	Aristolochia argentina	158534			PMID:21141875	
CHEBI:2871	Pieris japonica	317406	leaf		15787442	
CHEBI:2871	Piper longicaudatum	538297	twig		11301876	
CHEBI:2871	Piper longicaudatum	538297	leaf		11301876	
CHEBI:2873	Symplocos lancifolia	239704	leaf		21288041	Dried, powdered leaves extracted with boiling 80% methanol
CHEBI:2929	Acacia auriculiformis	205027			10.1016/0031-9422(80)80226-3	
CHEBI:2941	Artemisia chinensis	99046			24689280	
CHEBI:2979	Lepisorus ussuriensis	699700	whole plant		26569039	
CHEBI:2980	Callicarpa japonica	105891			9222055	
CHEBI:2981	Scutellaria baicalensis	65409	root		21087019	
CHEBI:2992	Delphinium andersonii	136314			19012276	
CHEBI:2992	Delphinium barbeyi	136316			10.1021/jf00025a020	
CHEBI:2992	Delphinium glaucescens	136323			10.1021/jf00025a020	
CHEBI:2992	Delphinium nuttallianum	136334			19012276	
CHEBI:2999	Phytolacca dodecandra	29724			Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter53	
CHEBI:3000	Beauveria bassiana	176275			18804027	
CHEBI:3000	Fusarium avenaceum	40199			25475336	
CHEBI:3000	Fusarium equiseti	61235			25475336	
CHEBI:3000	Fusarium poae	36050			25475336	
CHEBI:3000	Fusarium proliferatum	948311			23832252	
CHEBI:3000	Fusarium sporotrichioides	5514			25475336	
CHEBI:3005	Chlidanthus fragrans	82222			21615016	
CHEBI:3005	Nerine bowdenii	59042			22312717	
CHEBI:3008	Gentiana algida	50748			10.1007/BF00630190	
CHEBI:3008	Gentianella campestris	49940			10.1002/hlca.19740570831	
CHEBI:3008	Swertia ciliata	166614			J CHEM SOC PAK,2000,22,122	
CHEBI:3008	Swertia franchetiana	50785			10.1016/j.bse.2004.02.008	
CHEBI:3008	Swertia japonica	137129			10.1016/0031-9422(90)80122-W	
CHEBI:3008	Swertia paniculata	559637			20614821	
CHEBI:3008	Swertia petiolata	39380			ACTA CIENC INDICA SER GEM,1981,7,31	
CHEBI:3070	Streptomyces olivoreticuli	68246		MD976-C7	931798	
CHEBI:3081	Iris tenuifolia	198827	whole plant		18472117	
CHEBI:3087	Breynia fruticosa	296042	root		21428418	90% Methanolic extract of air-dried, crushed roots.
CHEBI:3087	Diospyros kaki	35925	calyx		21561086	
CHEBI:3087	Mimosa diplotricha	512270	aerial part		21875046	Ethanolic extract of aerial parts
CHEBI:3087	Paeonia rockii subsp. rockii	459179	root		21954959	Isolated from chloroform soluble extract of air-dried and powdered roots
CHEBI:3087	Syzygium claviflorum	219860	leaf		8176401	
CHEBI:3088	Streptomyces hygroscopicus	1912			16453790	
CHEBI:3088	Streptomyces viridochromogenes	1938			24498397	
CHEBI:3096	Fusarium sp.	29916		HKF15	24183988	
CHEBI:3110	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:3110	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:3139	Streptomyces verticillus	29309		ATCC15003	21210656	
CHEBI:3168	Chloromorum sp. toxicum	299907			18620714	
CHEBI:3168	Homo sapiens	9606	blood serum		15489546	
CHEBI:3168	Salmo salar	8030			29397797	
CHEBI:3168	Schisandra chinensis	50507	fruit		30853340	
CHEBI:3170	Caesalpinia sappan	483143	heartwood		21800859	Methanolic extract of dried heart wood of C.sappan(Caesalpinia001)
CHEBI:3179	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:3185	Dracaena cochinchinensis	593754			12016928	
CHEBI:3201	Bryophyllum tubiflorum	84209			3439945	
CHEBI:3210	Paramuricea clavata	317549			21939218	CH2Cl2:MeOH(1:1) extract of lyophilized material
CHEBI:3237	Toxicodendron vernicifluum	4013			33209079	Species also known as Rhus verniciflua.
CHEBI:3244	Butea monosperma	56060			20164300	
CHEBI:3252	Streptomyces globisporus	1908			21250756	
CHEBI:3252	Streptomyces globisporus	1908		SB 1022	21250756	
CHEBI:3252	Streptomyces globisporus	1908		SB 1023	21250756	
CHEBI:3252	Streptomyces globisporus	1908		SB 1014	21250756	
CHEBI:3252	Streptomyces globisporus	1908		SB 1021	21250756	
CHEBI:3252	Streptomyces globisporus C-1027	1172567			3198491	
CHEBI:3252	Streptomyces sp. CB00657	1718958			29345939	
CHEBI:3252	Streptomyces sp. CB02329	171897			29345939	
CHEBI:3252	Streptomyces sp. CB02366	1703935			29345939	
CHEBI:3252	Streptomyces sp. CB03608	1718988			29345939	
CHEBI:3291	Coffea arabica	13443			Clarke, R.J. and Macrae, R. (2013). <i>Coffee Volume 1: Chemistry</i>. Springer, New York. ISBN 978-9401086936	
CHEBI:3293	Centella asiatica	48106			MTBLS175	
CHEBI:3327	Calophyllum inophyllum	158927			15678383	
CHEBI:3333	Chimonanthus praecox	13419	leaf		Phytochem Lett., 2011, 4(3), 271-274	
CHEBI:3333	Chimonanthus praecox	13419	fruit		Phytochem Lett., 2011, 4(3), 271-274	
CHEBI:3367	Plumbago auriculata	45172	flower		22260638	
CHEBI:3383	Crinum bulbispermum	209086	bulb		15587597	
CHEBI:3443	Caryopteris divaricata	54463			10.1016/S0040-4039(01)92000-3	
CHEBI:3453	Erythrophleum chlorostachys	887861			Book: Dictionary of Alkaloids with CD-ROM, John Buckingham et al, CRC press, 2010, pg 374, C-178.	
CHEBI:3453	Erythrophleum guineense	1206079	bark		Book: Dictionary of Alkaloids with CD-ROM, John Buckingham et al, CRC press, 2010, pg 374, C-178.	
CHEBI:3453	Erythrophleum ivorense	53877			5135168	
CHEBI:3454	Erythrophleum guineense	1206079	bark		Book: Dictionary of Alkaloids with CD-ROM, John Buckingham et al, CRC press, 2010, pg 374, C-178.	
CHEBI:3454	Erythrophleum ivorense	53877			5135168	
CHEBI:3469	Catharanthus roseus	4058	leaf		17909486	
CHEBI:3472	Catharanthus roseus	4058	cell suspension culture		10.1039/C39770000164	
CHEBI:3472	Rauvolfia serpentina	4060			11985599	
CHEBI:3556	Cercospora	29002			10.1016/0048-4059(78)90029-2	
CHEBI:3556	Cercospora coffeicola	225974			10.1111/jph.12802	
CHEBI:3556	Cercospora kikuchii	84275			10.1021/ja01578a038	Isolated from dried mycelia.
CHEBI:3556	Pseudocercosporella capsellae	1873268			30686233	
CHEBI:3613	Aspergillus candidus	41067			5391291	
CHEBI:3663	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:3663	Mus musculus	10090			MTBLS143	
CHEBI:3680	Tanacetum cinerariifolium	118510			24253739	Isolated by extraction from callus cultures.
CHEBI:3684	Boesenbergia rotunda	97729	rhizome		10.1016/0031-9422(83)83075-1	
CHEBI:3687	Aloe vera	34199			24358188	
CHEBI:3689	Laggera pterodonta	313968			20506820	
CHEBI:3690	Inula aschersoniana	557639	aerial part		25233586	
CHEBI:3718	Artemisia chinensis	99046	leaf		24689280	
CHEBI:3719	Artemisia chinensis	99046	leaf		24689280	
CHEBI:3719	Phyla nodiflora	222877	aerial part		25140335	
CHEBI:3737	Cleistanthus collinus	1357584	aerial part		Chem. Pharm. Bull., 2003, 51(11), 1299-1300	
CHEBI:3737	Cleistanthus collinus	1357584			Tetrahedron, 1981, 37, 3641-3652	
CHEBI:3737	Phyllanthus taxodiifolius	296045	aerial part		16450297	
CHEBI:3887	Tabernaemontana catharinensis	403124	root		23569415	Isolated from root bark.
CHEBI:3887	Tabernaemontana divaricata	52861	cell suspension culture		17265301	
CHEBI:3887	Tabernaemontana divaricata	52861	aerial part		26231157	
CHEBI:3887	Tabernaemontana litoralis	403118	fruit		28006917	
CHEBI:3887	Tabernaemontana pandacaqui	761085			14122038	
CHEBI:3887	Tabernaemontana penduliflora	761088	seed		17342619	
CHEBI:3900	Laurus nobilis	85223			11912066	
CHEBI:3900	Magnolia sieboldii	85868			11534769	
CHEBI:3900	Saussurea lappa	324593	root		18409040	
CHEBI:3907	Streptomyces rishiriensis	68264			24079980	
CHEBI:3929	Heimia salicifolia	312921			18374955	
CHEBI:3960	Cupressus cashmeriana	187464	leaf		10.1021/np50051a032	
CHEBI:3960	Cupressus sempervirens	13469	leaf		10.1021/np50051a032	
CHEBI:3960	Glossostemon bruguieri	133565	root		10.3390/80800614	
CHEBI:3960	Juniperus occidentalis	114265	root		12372862	
CHEBI:3960	Microbiota decussata	13614	leaf		12562084	
CHEBI:3960	Thuja orientalis	58046	fruit		19280159	
CHEBI:3962	Curcuma longa	136217			25584520	
CHEBI:4047	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:4047	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:4055	Fabaceae	3803			22978215	
CHEBI:4055	Laburnum anagyroides	49828			23022271	
CHEBI:4109	Catha edulis	123405	leaf		33370655	
CHEBI:4116	Mycobacterium smegmatis	1772			26560079	
CHEBI:4116	Sinorhizobium meliloti	382			16788172	
CHEBI:4139	Chlamydomonas reinhardtii	3055			25515814	
CHEBI:4139	Escherichia coli	562			21988831	
CHEBI:4139	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:4167	Chlamydomonas reinhardtii	3055			25515814	
CHEBI:4167	Escherichia coli	562			21988831	
CHEBI:4167	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:4167	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:4167	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:4188	Escherichia coli	562			21988831	
CHEBI:4344	Gracilaria coronopifolia	439548			8843576	
CHEBI:4344	Lyngbya majuscula	158786			3924698	
CHEBI:4344	Moorea producens	1155739			25421266	
CHEBI:4344	Stylocheilus longicauda	114761			4833645	
CHEBI:4344	Trichodesmium erythraeum	1206			24394406	
CHEBI:4349	Escherichia coli	562			21988831	
CHEBI:4349	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:4349	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:4354	Angelica gigas	85712	root		11374978	
CHEBI:4356	Streptomyces pilosus	28893			30701380	
CHEBI:4356	Streptomyces sviceus	285530			33784308	
CHEBI:4357	Mundulea sericea	54460			9270008	
CHEBI:4357	Tephrosia purpurea	228354			31504284	
CHEBI:4357	Tephrosia vogelii	1157238			32454059	
