identifier	np_pathway	slug	path
naturalproductmech:mibig-42f1e90dfe	AMINO_ACIDS_AND_PEPTIDES	gobichelin-a	data/natural_products/amino_acids_and_peptides/gobichelin-a.yaml
naturalproductmech:mibig-42f24564a1	AMINO_ACIDS_AND_PEPTIDES	jbir-34	data/natural_products/amino_acids_and_peptides/jbir-34.yaml
naturalproductmech:mibig-42f99235c6	AMINO_ACIDS_AND_PEPTIDES	leupeptin-a	data/natural_products/amino_acids_and_peptides/leupeptin-a.yaml
naturalproductmech:mibig-43218accdf	ALKALOIDS	argimycin-pv	data/natural_products/alkaloids/argimycin-pv.yaml
naturalproductmech:mibig-433e947767	AMINO_ACIDS_AND_PEPTIDES	cyclothiazomycin	data/natural_products/amino_acids_and_peptides/cyclothiazomycin.yaml
naturalproductmech:mibig-436434b23f	POLYKETIDES	monocillin-iv	data/natural_products/polyketides/monocillin-iv.yaml
naturalproductmech:mibig-437906d7bf	POLYKETIDES	esperamicin	data/natural_products/polyketides/esperamicin.yaml
naturalproductmech:mibig-43840b1b80	UNCLASSIFIED	be-14106	data/natural_products/unclassified/be-14106.yaml
naturalproductmech:mibig-43ba5aeadd	POLYKETIDES	scopranone-c	data/natural_products/polyketides/scopranone-c.yaml
naturalproductmech:mibig-43d1ee1b20	ALKALOIDS	diazaquinomycin-f	data/natural_products/alkaloids/diazaquinomycin-f.yaml
naturalproductmech:mibig-43e6ceb71e	UNCLASSIFIED	malleobactin-x	data/natural_products/unclassified/malleobactin-x.yaml
naturalproductmech:mibig-43e8312129	FATTY_ACIDS	zeamine-ii	data/natural_products/fatty_acids/zeamine-ii.yaml
naturalproductmech:mibig-4408b5c322	UNCLASSIFIED	nocardiopsin-b	data/natural_products/unclassified/nocardiopsin-b.yaml
naturalproductmech:mibig-441a8c4d3f	TERPENOIDS	lankacidin-c	data/natural_products/terpenoids/lankacidin-c.yaml
naturalproductmech:mibig-442c237cfd	ALKALOIDS	odilorhabdin-noso-95a	data/natural_products/alkaloids/odilorhabdin-noso-95a.yaml
naturalproductmech:mibig-446380bb70	ALKALOIDS	endophenazine-f	data/natural_products/alkaloids/endophenazine-f.yaml
naturalproductmech:mibig-447235379c	TERPENOIDS	6-isoheptadecyl-4-o-dihydrofarnesyl-2-methoxyhydroquinone	data/natural_products/terpenoids/6-isoheptadecyl-4-o-dihydrofarnesyl-2-methoxyhydroquinone.yaml
naturalproductmech:mibig-447ade53ad	CARBOHYDRATES	polyoxin-h	data/natural_products/carbohydrates/polyoxin-h.yaml
naturalproductmech:mibig-44bf0cb08c	AMINO_ACIDS_AND_PEPTIDES	chitinimide-c	data/natural_products/amino_acids_and_peptides/chitinimide-c.yaml
naturalproductmech:mibig-44d24accdb	POLYKETIDES	phenylnannolone-a	data/natural_products/polyketides/phenylnannolone-a.yaml
naturalproductmech:mibig-44e8a59293	POLYKETIDES	oronofacic-acid	data/natural_products/polyketides/oronofacic-acid.yaml
naturalproductmech:mibig-44f3ef7776	AMINO_ACIDS_AND_PEPTIDES	megapolibactin-a	data/natural_products/amino_acids_and_peptides/megapolibactin-a.yaml
naturalproductmech:mibig-4502321bd9	UNCLASSIFIED	tolaasin-i	data/natural_products/unclassified/tolaasin-i.yaml
naturalproductmech:mibig-4505b19edb	ALKALOIDS	12-epi-hapalindole-c-isonitrile	data/natural_products/alkaloids/12-epi-hapalindole-c-isonitrile.yaml
naturalproductmech:mibig-4519ae749a	POLYKETIDES	isofuranonaphthoquinone-d	data/natural_products/polyketides/isofuranonaphthoquinone-d.yaml
naturalproductmech:mibig-45334f6cee	AMINO_ACIDS_AND_PEPTIDES	lapcin	data/natural_products/amino_acids_and_peptides/lapcin.yaml
naturalproductmech:mibig-45384bf4f0	AMINO_ACIDS_AND_PEPTIDES	aeruginosin-98-a	data/natural_products/amino_acids_and_peptides/aeruginosin-98-a.yaml
naturalproductmech:mibig-453a7a10a2	AMINO_ACIDS_AND_PEPTIDES	cahuitamycin-c	data/natural_products/amino_acids_and_peptides/cahuitamycin-c.yaml
naturalproductmech:mibig-453c013dd5	TERPENOIDS	isochloro-merochlorin-b	data/natural_products/terpenoids/isochloro-merochlorin-b.yaml
naturalproductmech:mibig-4542c27ff4	AMINO_ACIDS_AND_PEPTIDES	potashchelin-d	data/natural_products/amino_acids_and_peptides/potashchelin-d.yaml
naturalproductmech:mibig-458d2ea22b	CARBOHYDRATES	streptothricin-c	data/natural_products/carbohydrates/streptothricin-c.yaml
naturalproductmech:mibig-4597c767c9	POLYKETIDES	2e-4e-6e-8e-n-2-hydroxy-5-oxocyclopent-1-en-1-yl-9-o-tolyl-nona-2-4-6-8-tetraena	data/natural_products/polyketides/2e-4e-6e-8e-n-2-hydroxy-5-oxocyclopent-1-en-1-yl-9-o-tolyl-nona-2-4-6-8-tetraena.yaml
naturalproductmech:mibig-45aa4eac2a	POLYKETIDES	metathramycin	data/natural_products/polyketides/metathramycin.yaml
naturalproductmech:mibig-45bd834dfa	POLYKETIDES	bryostatin	data/natural_products/polyketides/bryostatin.yaml
naturalproductmech:mibig-45bd9dc971	ALKALOIDS	cepaciachelin	data/natural_products/alkaloids/cepaciachelin.yaml
naturalproductmech:mibig-45c1747c4f	AMINO_ACIDS_AND_PEPTIDES	azolemycin-b	data/natural_products/amino_acids_and_peptides/azolemycin-b.yaml
naturalproductmech:mibig-45c1d1a2e6	AMINO_ACIDS_AND_PEPTIDES	planosporicin	data/natural_products/amino_acids_and_peptides/planosporicin.yaml
naturalproductmech:mibig-45d5d15d63	UNCLASSIFIED	psychrophilin-i	data/natural_products/unclassified/psychrophilin-i.yaml
naturalproductmech:mibig-45d7d9cfd1	UNCLASSIFIED	trithioclapurine	data/natural_products/unclassified/trithioclapurine.yaml
naturalproductmech:mibig-45d8467be8	POLYKETIDES	hatomarubigin-d	data/natural_products/polyketides/hatomarubigin-d.yaml
naturalproductmech:mibig-45ec675c07	POLYKETIDES	pacificanone-a	data/natural_products/polyketides/pacificanone-a.yaml
naturalproductmech:mibig-4617b5664b	POLYKETIDES	chromomycin-a3	data/natural_products/polyketides/chromomycin-a3.yaml
naturalproductmech:mibig-464fc6f109	AMINO_ACIDS_AND_PEPTIDES	megapolibactin-f	data/natural_products/amino_acids_and_peptides/megapolibactin-f.yaml
naturalproductmech:mibig-466d3fef37	UNCLASSIFIED	prekainic-acid	data/natural_products/unclassified/prekainic-acid.yaml
naturalproductmech:mibig-467e1a4238	UNCLASSIFIED	arthrofactin-a	data/natural_products/unclassified/arthrofactin-a.yaml
naturalproductmech:mibig-4684834f05	CARBOHYDRATES	everninomicin-e	data/natural_products/carbohydrates/everninomicin-e.yaml
naturalproductmech:mibig-468d467f6a	FATTY_ACIDS	chlorosphaerolactylate-c	data/natural_products/fatty_acids/chlorosphaerolactylate-c.yaml
naturalproductmech:mibig-46c9f41d46	ALKALOIDS	demethoxygriseoluteic-acid	data/natural_products/alkaloids/demethoxygriseoluteic-acid.yaml
naturalproductmech:mibig-46fefb3b37	AMINO_ACIDS_AND_PEPTIDES	cystomanamide-a	data/natural_products/amino_acids_and_peptides/cystomanamide-a.yaml
naturalproductmech:mibig-4707c744c7	POLYKETIDES	arenimycin-a	data/natural_products/polyketides/arenimycin-a.yaml
naturalproductmech:mibig-472be7e9b4	AMINO_ACIDS_AND_PEPTIDES	sanglifehrin-a	data/natural_products/amino_acids_and_peptides/sanglifehrin-a.yaml
naturalproductmech:mibig-47aa8453ec	AMINO_ACIDS_AND_PEPTIDES	aeruginosamide-c	data/natural_products/amino_acids_and_peptides/aeruginosamide-c.yaml
naturalproductmech:mibig-47d20319b6	ALKALOIDS	pzn7	data/natural_products/alkaloids/pzn7.yaml
naturalproductmech:mibig-47d65e5c20	POLYKETIDES	1-6-dihydro-8-propylanthraquinone	data/natural_products/polyketides/1-6-dihydro-8-propylanthraquinone.yaml
naturalproductmech:mibig-47e25f64fe	AMINO_ACIDS_AND_PEPTIDES	ge2270	data/natural_products/amino_acids_and_peptides/ge2270.yaml
naturalproductmech:mibig-4807feced4	AMINO_ACIDS_AND_PEPTIDES	heinamide-b1	data/natural_products/amino_acids_and_peptides/heinamide-b1.yaml
naturalproductmech:mibig-48432214c0	AMINO_ACIDS_AND_PEPTIDES	heinamide-a2	data/natural_products/amino_acids_and_peptides/heinamide-a2.yaml
naturalproductmech:mibig-4843c9a9b1	UNCLASSIFIED	montamide-a	data/natural_products/unclassified/montamide-a.yaml
naturalproductmech:mibig-489bd6e2d9	UNCLASSIFIED	myxarylin	data/natural_products/unclassified/myxarylin.yaml
naturalproductmech:mibig-490475bd95	AMINO_ACIDS_AND_PEPTIDES	mersacidin	data/natural_products/amino_acids_and_peptides/mersacidin.yaml
